band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500
2,330800283737968.1,330800283737968.1,281492798027022.8,257946757411333.28,240635755033182.47,227688146244972.0,208315734155175.84,192612254139866.66,180212415745960.84,169970469799686.94,161170490186424.06,139538033907772.98,0.008320062431353636,0.006013190735971841,0.006936048729996092,0.011157582685670464,0.012890997323268247,0.018852813297324474,0.023830900737764837,0.02860505932573587,0.03270798784951934,0.036911904134904305,0.04985580724867278
5,818825356330984.0,818825356330984.0,731584399955328.4,675095800736920.2,630049806934278.4,592310852623619.1,531476080715463.4,484362249486322.75,445014897523403.44,411145815965766.7,383024973214014.1,318315449349414.25,0.024674411940615454,0.021264280936436952,0.019711651295945765,0.018256356893248227,0.016906444906550966,0.014604689291746298,0.012757783983538773,0.012535095793742679,0.014184645517039938,0.015635075302967233,0.019465453288162737
8,174263869090535.38,174263869090535.38,160475515201710.34,152613746570531.16,146298569108463.12,140940561711257.62,132831819217791.42,126372532339609.95,120815018856244.05,115802653026382.7,111268050701817.6,99615088781180.27,0.01855051762231886,0.01855051762231886,0.01855051762231886,0.01855051762231886,0.01855051762231886,0.01855051762231886,0.01855051762231886,0.018101112999774016,0.01716366695023705,0.015891224205021093,0.012892007698162344
11,13574172428036.908,13574172428036.908,11002394442634.48,10367689416663.998,10063832934761.543,9830364309546.045,9483371819299.854,9223526759604.297,9003337377647.492,8809771498205.275,8637524683551.099,8223876325838.45,0.008789344829061574,0.008789344829061574,0.008349126507048221,0.006844664497118291,0.005743494314681574,0.004564289196756333,0.0034754489566821145,0.003834554328729335,0.004222829681833076,0.004723840955755094,0.005604450750783195
14,210380809811384.8,210380809811384.8,198159418106068.84,191003628133318.97,185220516960262.34,180230756627168.12,171694983668402.0,164483056878028.16,158164828104934.75,152486387985332.5,147312642127554.47,133935042831122.62,0.02664487483399841,0.024358496578280264,0.022165029215024168,0.022562725885463375,0.02338085176513216,0.024811335735158813,0.023842995712492744,0.025021962616553102,0.026104592481675626,0.025469648920429244,0.02794359045787259
17,397466609639129.75,397466609639129.75,387244849736264.75,381277517322853.1,376355637865965.94,372025277313891.8,364471265430878.75,357893499025447.25,351926485936769.0,346456202122104.75,341364152091245.6,327880484635310.1,0.00849685426329988,0.009115469789606201,0.009561952243834715,0.009858982927470478,0.01007505275879711,0.010574584286509314,0.011123029714307828,0.011594786106810862,0.012078471443233582,0.012493418791357846,0.01390496108329485
20,100916456060944.86,100916456060944.86,97472736155361.75,95585659302874.53,94048457466934.98,92712937560497.62,90409121077884.66,88440329214825.27,86685067848190.39,85089792514571.11,83627260849800.8,79811754439335.55,0.0024693375150227626,0.0015194315869905828,0.0018773210595254275,0.002404352710773019,0.002922787685183066,0.003867468859750839,0.0047172518454416945,0.005520244913557546,0.006289056297061571,0.007043881832019011,0.009137530712369744
23,10926639641940.234,10926639641940.234,10639578181484.725,10479772185771.795,10348489567264.412,10233944824979.115,10036140481643.22,9865759769619.064,9714000381253.305,9576221343706.94,9449243116135.879,9114571215018.283,0.0024405984797963853,0.001203671560054742,0.0009862500608207037,0.0013117241804022628,0.0016838097408103936,0.0025733349808088057,0.00348616499898928,0.004333838677269809,0.005132543412462498,0.005897802488392445,0.008006297271592452
26,1913941153076.276,1913941153076.276,1866806235886.1382,1840042128178.9534,1817820741108.4116,1798239479210.1052,1763990479708.479,1734054600251.8489,1707108335151.1604,1682432779299.115,1659557643875.6926,1598903082724.1206,0.00048413987732276453,0.0010832278871074075,0.00178714749439942,0.0023632219172834493,0.00288611880088821,0.0038472724944428813,0.004724526749562037,0.005544708553143027,0.006320049661098781,0.007062576389257905,0.00913968914555336
30,24334225654.87295,24334225654.87295,23527069651.72247,23038466462.505085,22634183248.404636,22279000812.536266,21661454704.73277,21129073629.420235,20655526287.54629,20226546262.421196,19832506299.84095,18806638709.75391,0.0025508861296903995,0.0020452516174021274,0.002717475879860605,0.0027493841317814544,0.003276145996698239,0.004236100298282142,0.00511731463515518,0.0059437784811350106,0.006731728166085391,0.007489092405443952,0.009617311580995758
