layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,best_r_eta0,kstest_stat_eta0,kstest_stat_best,best_r,best_eta,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
0.3162,0.1933567882288014,0.1608005545497663,0.2368882804985557,3.385509792680187,1.3560451128201332,6.73114170367162,10000.0,3.0,-1.05,0.0339790190907328,0.013564202793681,6.3,0.14706046128675965,0.0339790190907328,3.0,-1.05,1579,0.347438,0.0352987,2.92042e-11,0.311688,0.0127237,0.0778252,0.252223,0.0171744,0.00541946,1.8211127e-10
0.4549,0.4143682118313114,0.3414136961643099,0.4895544665229404,2.8568228060098244,1.4848674856852906,5.035098846457057,10000.0,5.3,-0.8,0.0077792706782196,0.013564202793681,6.2,0.07353939469021034,0.0077792706782196,5.3,-0.8,32035,0.512904,0.0317295,3.51124e-09,0.451292,0.00492702,0.967441,0.377076,0.0117539,0.125175,0.57768254
0.6543,0.8490675958680022,0.6976006838429648,1.023003944809296,3.271503229838574,1.014398309337207,8.10679282061371,10000.0,1.1,-0.54,0.0084498886826694,0.013564202793681,3.2,0.021460498672716488,0.0084498886826694,1.1,-0.54,25312,0.73836,0.0330501,6.33415e-10,0.657415,0.0082615,0.499627,0.541326,0.0136293,0.0482586,0.47042223
0.70710678,0.98800285223995,0.8213376952813537,1.1719034861120998,2.609212415246964,1.239021592009798,4.613781649928004,10000.0,0.9,-0.58,0.0069366883776806,0.013564202793681,1.89,0.020273867304154203,0.0069366883776806,0.9,-0.58,37968,0.802647,0.0330755,6.1247e-10,0.703243,0.00699927,0.708594,0.587493,0.0129566,0.0690412,0.7189997
0.9412,1.757790971209418,1.4652386360042051,2.0750506395348505,2.8015253109176834,1.3088945193790271,4.589595289593263,10000.0,0.75,-0.4,0.0054721629124916,0.013564202793681,1.01,0.012755784277044824,0.0054721629124916,0.75,-0.4,64071,1.06066,0.0308783,1.02044e-08,0.938017,0.00547748,0.923415,0.782378,0.0117671,0.1244,0.92394602
1.354,3.79553011873839,3.143165454987768,4.456044298903581,2.973003079612951,1.4409377444557143,4.98248257111922,10000.0,0.6,-0.28,0.0058000655040024,0.013564202793681,0.69,0.01099060336758495,0.0058000655040024,0.6,-0.28,56952,1.54811,0.0335358,3.31518e-10,1.35016,0.0059721,0.865781,1.13424,0.0117119,0.127669,0.88759281
1.947,7.681312743175021,6.443957105156105,9.004857533898306,2.8274283211045086,1.2942146552740763,5.011916015364899,10000.0,0.55,0.0,0.0080318847422374,0.013564202793681,0.55,0.0080318847422374,0.0080318847422374,0.55,0.0,28476,2.22411,0.0307615,1.17863e-08,2.00008,0.00692442,0.721033,1.61481,0.0115346,0.138645,0.5362736
2.801,15.98555931936389,13.209582936200684,19.09771157433614,3.1307433943337246,1.3347406626540113,6.156873716952018,10000.0,0.46,0.0,0.0062250979699026,0.013564202793681,0.46,0.0062250979699026,0.0062250979699026,0.46,0.0,48052,3.20118,0.0316908,3.68807e-09,2.8041,0.00614727,0.841874,2.31096,0.0112875,0.155204,0.83076002
4.03,33.039036515185806,27.032692184365004,39.11325753340178,3.0580137540142847,1.3303385525682847,7.1223940570973,10000.0,0.4,-0.02,0.0084128112347581,0.013564202793681,0.4,0.009505870689029083,0.0084128112347581,0.4,-0.02,25312,4.59762,0.0312872,6.1346e-09,4.01158,0.00571498,0.897712,3.34657,0.011667,0.130379,0.47610322
5.796,68.02281037007684,56.97657727674022,80.94114358999255,3.1817800813076857,1.396869812200615,5.856083326923894,10000.0,0.37,0.1,0.0121615169807314,0.013564202793681,0.36,0.01455193810408556,0.0121615169807314,0.37,0.1,12655,6.51105,0.0356562,1.75749e-11,5.69695,0.0124842,0.0878254,4.65534,0.0176677,0.00384155,0.10298431
8.338,141.44911429427862,118.63739191901388,166.39438759085567,2.742162484688179,1.2521223911388817,5.040203098255807,10000.0,0.35,0.3,0.0071115268135482,0.013564202793681,0.32,0.02006125406598267,0.0071115268135482,0.35,0.3,37968,9.55305,0.0323751,1.53336e-09,8.36585,0.00643807,0.799002,6.99074,0.0134829,0.0522509,0.68981603
11.99,284.6624861826315,231.3633702763322,337.76600589902347,2.41781267724335,1.041802238265832,4.639994551826391,10000.0,0.34,0.6,0.0085421954868283,0.013564202793681,0.3,0.018571308354219274,0.0085421954868283,0.34,0.6,25312,13.9096,0.0304379,1.75209e-08,12.0506,0.00556144,0.91477,9.92775,0.0130151,0.0669723,0.45642868
17.25,586.0330354581228,491.1433136143687,690.3402751175388,2.419499743986984,1.102320312331112,4.268368440075589,10000.0,0.3,0.4,0.0112605954412527,0.013564202793681,0.27,0.027843573835814373,0.0112605954412527,0.3,0.4,15000,19.4895,0.0339346,1.93448e-10,17.1955,0.0100796,0.259825,14.1555,0.0159597,0.012132,0.15709878
24.82,1268.3163216185717,1054.8698978780285,1534.8839923725095,3.038263264210153,1.498905753294847,5.904290311545393,10000.0,0.28,0.4,0.0104490942555458,0.013564202793681,0.26,0.02614449662907753,0.0104490942555458,0.28,0.4,16875,28.0765,0.0320928,2.20736e-09,24.2191,0.0100361,0.264388,20.3523,0.0137847,0.0443125,0.22337704
35.7,2554.3112276741444,2107.4012024586086,3035.315682486248,2.891341270091128,1.4926416289956566,4.814695539967755,10000.0,0.28,0.8,0.0066548312833278,0.013564202793681,0.24,0.02427972525898703,0.0066548312833278,0.28,0.8,42714,40.3167,0.0305511,1.52593e-08,35.3679,0.00593353,0.870822,29.5191,0.0121276,0.104697,0.76500469
51.35,5112.590636702037,4227.179754313179,6003.225450356941,3.131211106475183,1.4014377045594306,5.751707551721217,10000.0,0.27,1.0,0.008896020282562,0.013564202793681,0.23,0.031814003209602204,0.008896020282562,0.27,1.0,22500,57.9395,0.0282033,2.41441e-07,51.4107,0.00677026,0.746364,42.0662,0.0124918,0.0874923,0.4049045
73.86,10548.598359963356,8775.016714648857,12471.811676990088,2.867190173906496,1.420789411472049,5.092948756012276,10000.0,0.26,1.1,0.0088111404338493,0.013564202793681,0.22,0.03579931608965986,0.0088111404338493,0.26,1.1,24025,81.4778,0.0312662,6.29807e-09,72.8265,0.00646257,0.795236,59.8083,0.0110233,0.17462,0.41694593
106.2,22466.54833297606,18971.50482061063,27037.134579715723,2.942836051857696,1.4398793600108093,6.45549338306891,10000.0,0.25,1.3,0.0063675440815345,0.013564202793681,0.21,0.04454125572806389,0.0063675440815345,0.25,1.3,48052,120.371,0.0303903,1.85665e-08,105.353,0.00460324,0.983251,87.7297,0.0115855,0.135419,0.80972058
152.8,45482.5832472664,37522.018341195166,54116.45732010766,2.7383692664359804,1.2364924143156928,4.674392155693621,10000.0,0.23,1.0,0.013996813827636,0.013564202793681,0.2,0.04522196863565986,0.013996813827636,0.23,1.0,9490,166.96,0.0360286,1.02988e-11,145.157,0.0112897,0.15505,121.227,0.0184351,0.00220602,0.039380221
