band,total_samples,initial_r,initial_eta,kstest_stat_initial,initial_exclude_cutoff,best_r,best_eta,best_scale,kstest_stat_best,best_exclude_cutoff,n_pval_0.05
2,1344.0,0.1,6.7,0.0130596037045917,0.0,0.18,7.0,100000.0,0.0100440142178288,0.0,18387.0
5,4032.0,0.1,3.5,0.0156518366105288,75.0,0.1,3.5,0.001526846220044,0.0156518366105288,75.0,7654.0
8,11424.0,0.1,5.8,0.0128758158282524,200.0,0.1,5.8,1.0699132837032678e-05,0.0128758158282524,200.0,11424.0
11,31584.0,0.2,9.6,0.0024363521369078,75.0,0.2,9.6,14843.099827711188,0.0024363521369078,75.0,303547.0
14,87360.0,0.1,0.1,0.0254898766642478,500.0,0.09,0.4,0.013221646339009857,0.022949548190738467,600.0,3453.0
17,100000.0,0.1,4.3,0.0128488684076374,0.0,0.1,4.3,0.0004434211935677,0.0128488684076374,0.0,11259.0
20,100000.0,0.1,6.0,0.0014715827146809,25.0,0.1,6.0,1.2155578089643885e-05,0.0014715827146809,25.0,854296.0
23,100000.0,0.1,12.0,0.0008972847652777,25.0,0.1,12.0,4.858092851856727e-09,0.0008972847652777,25.0,2309202.0
26,100000.0,0.1,7.5,0.00118892360734,25.0,0.1,7.5,5.99858904195229e-08,0.00118892360734,25.0,1281444.0
30,100000.0,0.1,3.6,0.0038485589439426,100.0,0.1,3.6,1.3927620345391053e-07,0.0038485589439426,100.0,126562.0
