filter_idx,skew,skew_ci_low,skew_ci_high,filter_group,nonskewed
0,2.77,-15.46,20.75,dual_color,1.0
1,-9.83,-17.43,-1.97,misc,0.0
2,2.29,-14.49,19.25,dual_color,1.0
3,-14.19,-47.64,31.55,single_edge,1.0
4,-0.17,-17.15,16.62,dual_color,1.0
5,0.04,-22.85,23.55,dual_color,1.0
6,1.87,-35.42,35.35,single_edge,1.0
7,-1.4,-11.71,9.5,inside_out,1.0
8,-27.29,-79.17,48.34,misc,1.0
9,-14.9,-93.31,78.36,multi_edge,1.0
10,-16.05,-41.61,13.31,single_edge,1.0
11,-0.92,-34.26,34.98,single_edge,1.0
12,3.16,-21.65,26.22,single_edge,1.0
13,9.81,-13.86,32.57,single_edge,1.0
14,-16.66,-43.3,12.79,single_edge,1.0
15,0.73,-12.61,15.05,inside_out,1.0
16,-4.78,-35.66,26.49,multi_edge,1.0
17,-0.2,-35.95,35.56,dual_color,1.0
18,8.17,-18.99,35.37,multi_edge,1.0
19,0.92,-8.87,9.87,inside_out,1.0
20,2.49,-17.48,23.31,dual_color,1.0
21,-5.7,-13.88,2.19,eye,1.0
22,-11.9,-37.84,13.82,multi_edge,1.0
23,1.11,-12.57,16.0,single_edge,1.0
24,-3.1,-29.4,24.52,single_edge,1.0
25,18.03,-59.81,80.24,multi_edge,1.0
26,0.38,-31.59,30.08,dual_color,1.0
27,21.77,-57.15,78.88,multi_edge,1.0
28,-8.16,-28.02,14.07,single_edge,1.0
29,0.01,-16.51,17.88,single_edge,1.0
30,0.96,-22.0,22.15,single_edge,1.0
31,8.22,-4.9,21.61,eye,1.0
32,-0.4,-12.69,10.82,single_edge,1.0
33,4.32,-32.09,39.33,multi_edge,1.0
34,-10.99,-33.27,16.68,single_edge,1.0
35,-6.45,-12.08,0.66,inside_out,1.0
36,-10.56,-16.84,-2.91,misc,0.0
37,5.06,-3.4,13.35,eye,1.0
38,1.42,-20.07,22.46,dual_color,1.0
39,-10.48,-27.06,5.84,eye,1.0
40,1.86,-7.7,11.5,inside_out,1.0
41,2.86,-24.23,30.79,multi_edge,1.0
42,-6.31,-33.04,24.32,dual_color,1.0
43,8.78,-24.43,38.31,single_edge,1.0
44,2.13,-16.02,20.96,dual_color,1.0
45,5.59,-11.26,23.79,eye,1.0
46,-0.31,-13.27,12.4,eye,1.0
47,-2.79,-27.23,24.01,dual_color,1.0
48,0.59,-14.76,15.97,single_edge,1.0
49,-0.56,-26.21,23.92,single_edge,1.0
50,-0.24,-28.47,28.07,single_edge,1.0
51,10.8,3.44,18.75,inside_out,0.0
52,-3.83,-14.82,7.52,inside_out,1.0
53,11.36,0.15,23.0,inside_out,0.0
54,-3.42,-78.2,73.52,multi_edge,1.0
55,-1.69,-31.42,25.57,single_edge,1.0
56,-1.68,-29.11,24.31,dual_color,1.0
57,1.2,-19.32,23.55,single_edge,1.0
58,9.24,-4.74,23.93,inside_out,1.0
59,-4.75,-36.91,27.5,dual_color,1.0
60,-10.91,-48.0,32.46,misc,1.0
61,6.14,-14.11,27.57,misc,1.0
62,6.23,-31.92,38.32,misc,1.0
63,1.13,-36.78,40.64,multi_edge,1.0
