band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,1690.4633,778.4258,4474.2686,1951.2109,93.38999,3809.454,45000.0
5,925.18634,445.42334,2432.551,1732.7407,102.45985,3959.4731,117000.0
8,286.47913,157.75842,630.31335,997.55035,76.81663,2699.5813,189000.0
11,254.84296,72.82956,1635.3556,13976.008,62.87747,8349.733,495000.0
14,74.9462,35.321682,283.3247,4449.843,48.65339,6157.9995,1134000.0
17,34.729362,17.269596,129.88573,4455.6323,42.4029,6093.364,2574000.0
20,15.65689,7.7185473,51.57536,3024.8623,61.90266,4879.5195,5967000.0
23,7.0150595,2.5792458,40.182514,11453.02,71.84764,7815.2046,13887000.0
26,4.446219,0.7659766,42.104828,27543.828,79.598564,9199.39,31968000.0
29,1.4855361,0.09773385,14.558654,38067.582,100.88522,9678.418,73701000.0
32,0.048398644,0.010321437,0.30018562,13939.495,95.46198,8480.346,59634000.0
