band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,685345300.0,600102800.0,777057660.0,22.934788,19.235014,27.796648,57630782.0
5,1722705000.0,1591182800.0,1859326200.0,7.157872,6.275865,8.109446,57630782.0
8,1587770500.0,1481832700.0,1696844200.0,4.967281,4.376217,5.5812244,57630782.0
11,1426515700.0,1339538600.0,1514951400.0,3.7511883,3.390669,4.1296124,57630782.0
14,412175840.0,378302180.0,447193000.0,8.583132,7.6269264,9.593696,57630782.0
18,86717760.0,79598650.0,94353630.0,8.918146,7.10315,11.227145,57630782.0
21,33455996.0,30343294.0,36849320.0,12.01246,8.990017,16.473372,57630782.0
24,16420737.0,14200010.0,18883574.0,28.807974,22.504501,36.28196,57630782.0
27,7189806.5,6030759.5,8472875.0,41.60532,32.73219,52.25507,57630782.0
31,202667.61,162226.9,261127.5,83.1609,41.32188,242.0854,57630782.0
