,dataset,subset,transform,group,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,best_r,best_eta,kstest_stat_best,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma,orientation,channel,github_plot,dataset_type,hull,best_beta,best_1/beta,kstest_stat_cutoff_0.10,kstest_stat_cutoff_0.20,beat_all_priors
0,agriVision,full,fourier,2,1292.9467,749.10767,2108.4307,421.84155,123.97443,696.23804,4500.0,0.1,2.5,0.0074681549659173,0.0063984224173442,0.1,2.3,0.0072273556798421,11.0761,0.0480104,1.402899999999999e-90,9.7905,0.0218713,3.94117e-19,7.74971,0.0190292,1.38299e-14,0.018082281,,blue,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_2.jpg,remote sensing,<scipy.spatial._qhull.ConvexHull object at 0x0000015EB5CC0190>,37.99999999999999,0.026315789473684216,0.018206824831337,0.01595455206222726,1
1,agriVision,full,fourier,5,662.6544,382.08975,1248.6178,628.03,108.21224,1663.2395,11700.0,0.1,2.0,0.0053860610487393,0.0039690102483117,0.09,2.4,0.0049056757195364,7.63711,0.0447699,3.208879999999999e-204,6.79148,0.019793,3.01331e-40,5.36512,0.0149467,3.91042e-23,0.007143833,,blue,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_5.jpg,remote sensing,<scipy.spatial._qhull.ConvexHull object at 0x0000015EB5CC3710>,43.333333333333336,0.023076923076923075,0.01130018835300285,0.009903321860353797,1
2,agriVision,full,fourier,8,256.6339,133.79204,650.8456,1363.7307,99.3656,3639.2358,18900.0,0.1,2.9,0.0053392999873234,0.0031230403979095,0.09,3.3,0.0050881362588245,5.05278,0.0406657,5.1639499999999986e-272,4.49151,0.0156683,9.83935e-41,3.55617,0.0128219,2.0311e-27,0.00011207065,,blue,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_8.jpg,remote sensing,<scipy.spatial._qhull.ConvexHull object at 0x0000015EB1FD1890>,53.333333333333336,0.01875,0.008893343461069096,0.007794282366859325,1
3,agriVision,full,fourier,11,121.96157,57.215298,390.19293,2698.3176,93.68093,4889.278,49500.0,0.1,3.1,0.0038192886142266,0.0019299803152697,0.09,3.5,0.0034754958858495,3.63857,0.0376707,0.0,3.22388,0.0125391,4.945439999999999e-68,2.57712,0.00990488,1.30664e-42,1.2781938e-05,,blue,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_11.jpg,remote sensing,<scipy.spatial._qhull.ConvexHull object at 0x0000015EB1FD3250>,55.55555555555556,0.018,0.005497415016855208,0.004818281651430916,1
4,agriVision,full,fourier,14,48.46801,23.179575,151.67955,2654.2952,86.30504,4711.6294,113400.0,0.1,3.4,0.0027243741277807,0.0012751894232635,0.09,3.6,0.0024152265629433,2.52103,0.0363698,0.0,2.22509,0.0105889,7.199269999999996e-111,1.79531,0.00918622,1.5108799999999993e-83,3.5861502e-06,,blue,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_14.jpg,remote sensing,<scipy.spatial._qhull.ConvexHull object at 0x0000015EB1FD2790>,56.666666666666664,0.01764705882352941,0.0036328299393132706,0.0031841332588112433,1
5,agriVision,full,fourier,17,28.90038,10.379934,164.69775,12164.642,72.317085,7907.98,257400.0,0.1,3.5,0.0020881503390833,0.0008464353782179,0.1,3.5,0.0020881503390833,1.78967,0.0357581,0.0,1.57944,0.00974926,6.232669999999998e-213,1.27506,0.0087365,4.485729999999998e-171,3.5623191e-10,,blue,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_17.jpg,remote sensing,<scipy.spatial._qhull.ConvexHull object at 0x0000015EB1B8F310>,50.0,0.02,0.0024116067917894107,0.002113785421992925,1
6,agriVision,full,fourier,20,13.782273,5.6929874,61.2636,5707.6304,75.890045,6510.244,596700.0,0.1,3.3,0.002690957508028,0.0005559445407404,0.09,3.7,0.0024191663120811,1.26258,0.0377106,0.0,1.11217,0.0119,0.0,0.896139,0.00965956,0.0,9.295595300000002e-31,,blue,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_20.jpg,remote sensing,<scipy.spatial._qhull.ConvexHull object at 0x0000015EB1FD22D0>,57.77777777777778,0.01730769230769231,0.0015840643236142565,0.0013884582018778816,1
7,agriVision,full,fourier,23,6.417106,2.075519,40.68718,14689.195,66.17716,8234.636,1388700.0,0.1,2.8,0.0035508255323585,0.0003644288842482,0.09,3.1,0.0030096771952777,0.738801,0.0414526,0.0,0.65251,0.0158459,0.0,0.521575,0.012094,0.0,1.0960012999999997e-109,,blue,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_23.jpg,remote sensing,<scipy.spatial._qhull.ConvexHull object at 0x0000015EB4405B10>,51.11111111111111,0.01956521739130435,0.0010384199263510708,0.0009101997446916571,1
8,agriVision,full,fourier,26,4.0182343,0.58495307,41.423286,32939.27,74.59863,9373.831,3196800.0,0.1,1.7,0.0057471683055792,0.0002401951053511,0.1,1.7,0.0053010243106584,0.330744,0.0484236,0.0,0.294042,0.0231725,0.0,0.231913,0.0185147,0.0,0.0,,blue,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_26.jpg,remote sensing,<scipy.spatial._qhull.ConvexHull object at 0x0000015EB51AB950>,32.0,0.03125,0.0006844419453544547,0.000599932950981852,1
9,agriVision,full,fourier,29,0.41692203,0.07470128,3.3163257,27951.705,85.44221,9154.597,7370100.0,0.1,1.2,0.0089995390652392,0.0001581934199511,0.09,1.5,0.0083240700187979,0.10111,0.0546433,0.0,0.0901635,0.0300424,0.0,0.0710989,0.0241607,0.0,0.0,,blue,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_29.jpg,remote sensing,<scipy.spatial._qhull.ConvexHull object at 0x0000015EB4406590>,33.333333333333336,0.03,0.0004507844820295045,0.00039512694248942064,1
