band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,best_augmented_var,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,347101015135913.7,347101015135913.7,256358679675670.53,222791319373371.6,200615105480823.03,182366955160003.4,152724611917298.06,129798845645290.16,112480388480912.28,98241394606119.14,85898719286630.95,56764041753189.51,0.0102572620707015,0.0161307385108691,0.0250261966683316,0.0350473121386037,0.0458520310226611,0.0655730683687907,0.0830292964501524,0.0977372581914437,0.110858866069902,0.123241596033287,0.1641372984708495,0.05550536144377172,0.04540206466512445,0.034164717876991824,0.018957586553320027,0.010257262070701545,,,,,
5,749648643352302.9,749648643352302.9,658096315913696.2,599614385916219.6,554349798920159.1,517895145284958.2,462738864568714.3,418605445951645.5,382896162283939.1,353140918474643.4,327267317009094.44,269650793875165.6,0.023769613161068,0.0206311631723591,0.0188958784816308,0.0174072289386015,0.0153203262818394,0.0131712692902783,0.0119619760418393,0.0137051776334676,0.0152905281808226,0.0167839672632201,0.0205488926348115,0.015258848458550045,0.014458822611928102,0.013703370416512844,0.01285155950496522,0.011961976041839394,0.011716178055760973,439772649196604.06,0.012656403649957126,0.013525661378179787,0.015120422489384486
8,165212139930533.1,165212139930533.1,145837637462810.56,135367385377027.16,128032472183793.06,122217507870909.23,112693682863554.12,104776000387313.31,97967186733709.69,92085156884484.4,87005878149360.52,75014290201696.9,0.018473014065786,0.018473014065786,0.018473014065786,0.018473014065786,0.018473014065786,0.0173065435536977,0.0152691037202843,0.0131876266005264,0.011554612674068,0.0101736843518584,0.0118724962431492,0.011173997624377208,0.010839417060820405,0.010494626168054973,0.010112898688853345,0.010173684351858447,0.010729147897237057,84703937719222.22,0.01149053195911462,0.012449687132162976,0.013071667306618795
11,13141870334914.545,13141870334914.545,10781832747925.695,10219661032572.076,9931793051851.318,9705814134970.346,9374140991618.38,9125126942031.902,8910616296415.625,8721565249832.866,8554575800454.079,8153957007694.99,0.0086302179242722,0.0086302179242722,0.0079032494783407,0.0071580440186932,0.0060665709451093,0.0045575443258519,0.0034950344961767,0.0038818519909747,0.0042370093790022,0.0046435011956221,0.0055893072245945,0.004630043402595874,0.004057567545234274,0.003870604202656048,0.0036744829572102344,0.003495034496176719,0.003953792916597421,,0.004427233474786241,0.005061113893931712,0.005873569875237572
14,337013694688144.0,337013694688144.0,322602786703382.8,314738578805427.0,308332196459989.44,302794899083670.7,293112095243493.6,284804851834848.75,277328059072692.1,270522557562430.84,264263095730505.88,247751789217725.88,0.0243942828900457,0.0265796255600302,0.025621118821935,0.0266041646113423,0.0275148350814816,0.0270872340196682,0.0285438520896239,0.0287124206083094,0.0292558801386152,0.0304420717744687,0.031299414504028,0.02611912401213065,0.025200167494744144,0.025621118821935074,0.02555829159120382,0.023363029325037574,,337013694688144.0,,,
17,435378903439939.0,435378903439939.0,426432860946833.9,421046694354571.6,416437021622763.6,412346254407894.3,405179653044020.1,398913922843238.9,393253117931990.4,388021994345907.75,383149248010841.8,370122935696348.0,0.0048452604093311,0.006310772679766,0.0056951433491694,0.0066501581892952,0.0067300339541769,0.007630811489417,0.0079379403766339,0.0082938429070899,0.0093830457791699,0.0104252452463973,0.0132966530703162,0.006357276344773913,0.006325556919320491,0.005703525152447417,0.005377259153747427,0.004845260409331115,,,,,
20,24686943957756.82,24686943957756.82,23921949146262.355,23525925840988.65,23209876467737.453,22937567609191.82,22472054386442.125,22072457863219.58,21718138219864.824,21396489623432.062,21099990658848.57,20317157006986.64,0.0024648713609629,0.0011379683599328,0.0014364945916911,0.0015634105605355,0.0019487566833783,0.0029325038630082,0.0038039924813198,0.0044674307326384,0.0052376296759199,0.0060032472776781,0.0081786585658315,0.0024290530789938883,0.002003616051487897,0.0016460620411264705,0.0020084054209492663,0.0011379683599328505,0.0024856957824064274,,,,
23,4746586825058.915,4746586825058.915,4540467141660.802,4470460513205.509,4413622583239.565,4364232807103.152,4279050050971.989,4205677161521.875,4140225929659.99,4080606967996.568,4025455107472.7896,3879910615375.551,0.00249046092762,0.0011124488035917,0.0010963265368341,0.0014600887128617,0.0018494059406919,0.0027892978614494,0.0036907850409492,0.0045246959473664,0.0053115656194689,0.0060665989571344,0.0081922577111783,0.0028499245950388136,0.002304909337899161,0.0018494059406919637,0.0014600887128617887,0.0010963265368341638,0.0011124488035917368,,0.0026376721774145073,,
26,269802234005.4589,269802234005.45892,263765224353.68115,259908333605.96268,256673876799.84088,253809288242.744,248793179996.43924,244408899333.16183,240470550258.64035,236860645040.6184,233510207135.09567,224616733216.5952,0.0005972760233075,0.0013030188953724,0.0019663846414156,0.0025387994983063,0.0030572123689127,0.0040068691326875,0.0048643130020572,0.0056810566647311,0.0064567787200149,0.0071978107473048,0.0092861963994866,0.0030003056622171717,0.0024791283606981213,0.0019360505575034825,0.0012723474320249506,0.00037236536675644416,,269802234005.45895,,,
30,26489577092.37509,26489577092.37509,25648959354.015614,25129592185.026127,24698324980.26124,24319891569.250187,23663568237.8808,23097155269.68658,22593001852.22711,22136303820.94547,21716906848.354294,20622593163.07998,0.0017687130261023,0.0018642207154865,0.0021565483204606,0.0026143045758078,0.0031284144673778,0.0040691814231884,0.0049614874097713,0.0057952552284767,0.0065909262382532,0.0073521820703879,0.0094901303884835,0.0035067507561650987,0.0030289361245187107,0.002453533830808447,0.0018067554799616678,0.0017687130261023198,,,,,
