band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,361233355611592.56,308796725965553.6,420786847279598.1,3.57605198380865,1.4463518426889483,5.8464700992081005,768.0
5,480811286467398.9,404011176923964.6,566393882713025.8,41.129778649336785,31.35457193797695,50.88898229951936,7680.0
8,81475233569011.16,63137334928450.71,104430878964334.27,95.95431692831265,43.07421856511571,133.39659108184412,14592.0
11,10780845883062.227,8532221427411.752,15142063879880.418,140.31711071044793,14.350622733679478,403.76732696992264,29952.0
14,383603997482749.7,354049238287296.06,415771260376614.4,7.763237558676421,5.767140141821334,11.667422680631262,59904.0
17,449452195163706.2,426338330099320.44,473366353439575.7,2.1147800749045373,1.525195438004103,3.040700583206756,480768.0
20,18674335650809.61,17645930490411.14,19793107591288.58,2.963037638860442,1.8536116815600696,5.672338272950493,961536.0
23,5018693864910.515,4709632834823.937,5382060269044.912,4.626451247630118,2.391146893889103,13.838143231011397,7692288.0
26,476402867520.0227,433602198876.9354,557068083802.4753,21.22976623180279,4.072834872583141,108.38909431136862,3846144.0
30,47135612490.73964,43651263143.4324,51040171748.686455,7.224525739600827,4.931355861429137,13.938859292560956,7692288.0
