band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,0.015960297279477016,0.012224179684815439,0.02070580560477617,103.39065924847087,50.60942794136182,152.47112425840336,196946.0
3,0.17707286749438247,0.13931242947926836,0.21973684280933511,76.09686083560804,60.9656104076158,94.21565210181966,219312.0
5,1.801660546895971,1.6404136246376997,1.9689759260851811,10.58724906319725,9.225805017777308,12.083664584490753,2172510.0
6,1.5333100260570736,1.3991785744830967,1.671198479025452,9.916347446899268,8.856367297377304,11.027892344090116,1097400.0
8,0.18958009349964733,0.16394753922912617,0.2188554790668288,29.783742278248106,20.313343254989523,40.74871811745572,7113224.0
9,0.04623460550980189,0.04105119776420277,0.05252490795770072,20.653233098549272,11.258619017985204,47.75254523577933,10673196.0
11,0.01643040117217955,0.013545712146386165,0.019905820684250924,52.92331490682333,32.29699904485884,100.34299060725178,13525448.0
12,0.006925502775754565,0.005488055954197571,0.008856657983028272,84.1791600765935,44.07279253450902,193.17719601038368,44542202.0
14,0.00046642833149684735,0.0003451819531260666,0.0008482684664149577,415.3784733601712,41.957135379901075,1293.7309817168261,25078470.0
16,0.00010105065960101175,6.313254249315317e-05,0.00017076191463806896,411.1575598271519,118.00027025699525,1105.7861847517668,16399328.0
