filter_idx,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group
0,137.92424,103.93306,192.94147,10.131069,3.5204768,63.65342,160000000.0,"(2.0, 0.5, 0.044)"
1,53.98736,40.135403,79.578384,16.350359,4.161812,131.8257,160000000.0,"(2.0, 0.5, 0.065)"
2,25.048847,18.085354,38.104233,21.830307,5.088109,153.02065,160000000.0,"(2.0, 0.5, 0.096)"
3,9.881065,6.770121,17.73275,29.03223,6.329034,168.21391,160000000.0,"(2.0, 0.5, 0.141)"
4,3.7354176,2.428868,7.6427674,42.46922,7.384008,291.3239,160000000.0,"(2.0, 0.5, 0.208)"
5,1.1133472,0.71270263,2.4809177,55.986454,6.2688556,333.46658,160000000.0,"(2.0, 0.5, 0.306)"
6,0.71689576,0.46947125,1.7962804,62.75992,6.5022244,366.02863,160000000.0,"(2.0, 0.5, 0.45)"
7,182.94016,139.64233,257.17523,11.653064,3.985817,86.64955,160000000.0,"(2.0, 1.0, 0.044)"
8,73.88104,54.9921,108.21867,12.884755,4.084681,82.37631,160000000.0,"(2.0, 1.0, 0.065)"
9,32.86332,23.833479,61.019093,27.549038,4.8539906,237.72313,160000000.0,"(2.0, 1.0, 0.096)"
10,14.108161,10.13237,23.545927,22.987734,5.83376,159.90045,160000000.0,"(2.0, 1.0, 0.141)"
11,5.1228614,3.366376,10.054944,37.73615,6.670326,255.24147,160000000.0,"(2.0, 1.0, 0.208)"
12,1.7179714,1.1109409,4.099321,65.70682,7.2821126,366.79593,160000000.0,"(2.0, 1.0, 0.306)"
13,0.75482696,0.50263894,2.467903,133.74791,6.0726047,514.4033,160000000.0,"(2.0, 1.0, 0.45)"
14,139.32408,106.72535,189.35432,10.795258,4.2112794,56.947453,160000000.0,"(3.0, 0.5, 0.044)"
15,54.512917,39.335144,82.589676,16.74437,4.8004966,120.06473,160000000.0,"(3.0, 0.5, 0.065)"
16,24.844587,17.906513,40.746475,22.866888,5.375881,173.36685,160000000.0,"(3.0, 0.5, 0.096)"
17,10.273449,7.0069065,16.954535,27.373219,7.2860465,168.44084,160000000.0,"(3.0, 0.5, 0.141)"
18,3.741431,2.391358,7.567248,43.702446,7.9421787,273.9207,160000000.0,"(3.0, 0.5, 0.208)"
19,1.1976594,0.78916377,3.0075552,71.737404,7.3802586,403.16586,160000000.0,"(3.0, 0.5, 0.306)"
20,0.43484458,0.27656698,1.6192653,168.82391,6.3661427,593.284,160000000.0,"(3.0, 0.5, 0.45)"
21,159.65025,120.91017,250.02219,14.098389,4.4928055,118.48404,160000000.0,"(3.0, 1.0, 0.044)"
22,61.57288,44.90172,95.26083,15.922783,4.72153,124.64975,160000000.0,"(3.0, 1.0, 0.065)"
23,25.62438,18.90422,43.937878,23.516132,6.1646113,173.09242,160000000.0,"(3.0, 1.0, 0.096)"
24,12.506859,8.387513,27.405567,45.194855,7.0266256,313.73743,160000000.0,"(3.0, 1.0, 0.141)"
25,4.274352,2.8256507,8.60449,44.270775,8.169891,237.70566,160000000.0,"(3.0, 1.0, 0.208)"
26,1.4885468,0.93557394,4.4726996,121.69231,8.121638,489.27094,160000000.0,"(3.0, 1.0, 0.306)"
27,0.4579739,0.28277746,1.593814,164.32143,6.762876,567.8042,160000000.0,"(3.0, 1.0, 0.45)"
28,136.12923,104.41605,195.1473,12.532316,4.037377,79.03131,160000000.0,"(4.0, 0.5, 0.044)"
29,52.638275,38.425686,75.71562,13.311335,5.0151477,63.8976,160000000.0,"(4.0, 0.5, 0.065)"
30,23.663502,16.446152,39.452145,23.896835,6.059253,173.95901,160000000.0,"(4.0, 0.5, 0.096)"
31,10.277639,6.924085,20.741539,35.16071,6.739778,245.2393,160000000.0,"(4.0, 0.5, 0.141)"
32,3.3609097,2.1670945,7.3048906,53.75061,7.654746,345.77277,160000000.0,"(4.0, 0.5, 0.208)"
33,1.0732713,0.66771895,3.630314,149.11606,7.626551,548.9343,160000000.0,"(4.0, 0.5, 0.306)"
34,0.3225316,0.20428054,1.3085693,228.756,5.876293,626.158,160000000.0,"(4.0, 0.5, 0.45)"
35,143.78783,107.4969,216.27058,13.876215,4.5358267,83.398674,160000000.0,"(4.0, 1.0, 0.044)"
36,60.048054,45.19979,92.12148,15.751469,4.843852,106.63244,160000000.0,"(4.0, 1.0, 0.065)"
37,24.948524,17.173632,43.256687,28.485497,6.040582,208.54926,160000000.0,"(4.0, 1.0, 0.096)"
38,10.362214,7.014803,19.75623,39.059826,7.130081,273.2867,160000000.0,"(4.0, 1.0, 0.141)"
39,4.0852532,2.5975077,10.521443,79.141815,7.587501,418.19052,160000000.0,"(4.0, 1.0, 0.208)"
40,1.3246607,0.8047038,3.554098,90.08871,8.315499,443.54498,160000000.0,"(4.0, 1.0, 0.306)"
41,0.39251098,0.250197,1.5784774,200.70044,6.6502676,612.0154,160000000.0,"(4.0, 1.0, 0.45)"
