band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,initial_scale,kstest_stat_initial,kstest_stat_cutoff_0.05,best_r_eta0,best_scale_eta0,kstest_stat_eta0
2,1292.9467,749.10767,2108.4307,421.84155,123.97443,696.23804,45000.0,0.04,3.1,3.420114219481384e-50,0.0271143352162324,0.0063984224173442,5.8,0.02367167662930635,0.4023437757938729
5,662.6544,382.08975,1248.6178,628.03,108.21224,1663.2395,117000.0,0.04,2.9,4.800839901869193e-50,0.0270040782054054,0.0039690102483117,5.8,0.02367167662930635,0.4211323431618615
8,256.6339,133.79204,650.8456,1363.7307,99.3656,3639.2358,189000.0,0.04,3.2,4.163415590872952e-51,0.0297878139581321,0.0031230403979095,5.8,0.02367167662930635,0.4423644166818905
11,121.96157,57.215298,390.19293,2698.3176,93.68093,4889.278,495000.0,0.04,3.3,1.2249535826844186e-51,0.0282972114247094,0.0019299803152697,5.8,0.02367167662930635,0.45544093602064234
14,48.46801,23.179575,151.67955,2654.2952,86.30504,4711.6294,1134000.0,0.04,3.7,7.803310619650071e-53,0.0262632436599673,0.0012751894232635,5.8,0.02367167662930635,0.4667551107706831
17,28.90038,10.379934,164.69775,12164.642,72.317085,7907.98,2574000.0,0.04,3.3,2.902686807159101e-52,0.0301621814099087,0.0008464353782179,5.8,0.02367167662930635,0.47433243413999704
20,13.782273,5.6929874,61.2636,5707.6304,75.890045,6510.244,5967000.0,0.04,3.4,8.647863083750613e-53,0.0278500218451329,0.0005559445407404,5.8,0.02367167662930635,0.4788499954959573
23,6.417106,2.075519,40.68718,14689.195,66.17716,8234.636,13887000.0,0.04,2.9,4.649104954154717e-52,0.0294157550839471,0.0003644288842482,5.8,0.02367167662930635,0.48447928917303884
26,4.0182343,0.58495307,41.423286,32939.27,74.59863,9373.831,31968000.0,0.03,2.5,1.3998039823971474e-72,0.0364672748632579,0.0002401951053511,5.8,0.02367167662930635,0.48947547760062743
29,0.41692203,0.07470128,3.3163257,27951.705,85.44221,9154.597,73701000.0,0.03,2.4,3.0896393750405594e-73,0.0344328271548135,0.0001581934199511,5.8,0.02367167662930635,0.49457709427701735
32,0.013910068,0.0078334445,0.032692194,1185.7649,81.10659,2850.0388,59634000.0,0.04,3.2,2.2566540890078407e-55,0.0275400967894456,0.0001758642001808,5.8,0.02367167662930635,0.49738399977961745
