band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,400631716371793.0,359302810197807.44,446214562556384.3,8.316573902865628,5.7575187335949405,10.650913365884168,2880.0
5,946126933927359.0,832220394094179.8,1067497895547224.8,21.399463180406244,18.452861138409602,24.572022472496712,8640.0
8,193453683221031.5,166965018617860.9,223524363416121.66,30.00240379524574,21.744311263613465,39.76915086625411,24480.0
11,14384255303088.066,11623886054453.22,19145267724398.2,100.20285300843204,14.093920822436,274.10471472705626,67680.0
14,412631882902065.4,376327517331203.0,452412413494826.2,10.744118748535008,7.456208103428094,16.71503823137049,100000.0
17,388122981379094.44,365742185238809.4,412202092278038.6,3.3749157728985733,2.279852659636252,6.281313864563966,100000.0
20,73427182295489.95,67160777314396.06,81680621765748.84,11.901692634445322,5.121551915734878,40.059997151402456,100000.0
23,11116873638858.572,10438272332158.877,11901477634706.352,4.427513188243492,2.454237738122182,12.285350605596477,100000.0
26,3114393648514.945,2886461862881.734,3378224171997.241,7.238748415729535,4.201064730921425,17.51876219916927,100000.0
29,65762145352.27044,61012672116.886986,71195392453.61052,6.770874511662678,4.171933015089947,17.270430897107605,100000.0
