band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,238621.34,227525.05,250164.66,1.3298607,0.96238965,1.77264,31800.0
5,125861.8,119992.66,131988.28,1.392025,0.909872,2.123118,41340.0
8,66732.33,63640.67,69916.1,1.3771291,0.96771985,1.9176652,66780.0
11,36748.125,34953.164,38624.617,1.7273335,1.0428352,3.0285838,104940.0
14,19290.611,18380.465,20250.715,1.5637116,0.98590016,3.0214248,162180.0
17,10338.449,9839.2705,10859.774,1.6528234,1.0620842,3.0633144,257580.0
20,4938.3066,4692.6626,5208.717,2.0606022,1.1709815,6.707925,381600.0
23,2210.008,2095.9802,2333.3518,2.336577,1.42222,4.876342,610560.0
26,871.8909,814.14685,942.1888,5.787819,2.4792078,17.814651,973080.0
29,297.93655,265.63385,344.98026,23.688461,6.6877375,80.94592,1376940.0
32,25.905695,24.708324,27.137707,1.305109,0.8938685,2.0176268,419760.0
