band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,initial_scale,kstest_stat_initial,kstest_stat_cutoff_0.05,best_r_eta0,best_scale_eta0,kstest_stat_eta0
2,164622.75,156708.31,172875.03,1.5730996,1.1551127,2.07445,31800.0,0.52,2.6,2790.940565791764,0.0036210925511723,0.0076105772670922,0.89,19.329001559647814,0.010651464804567357
5,89105.41,84883.04,93516.57,1.5012345,1.0109708,2.1425598,41340.0,2.0,0.4,100000.0,0.0030135192693151,0.0066754871311422,1.67,43.52232196052538,0.01564802214896982
8,49459.945,47133.05,51857.87,1.4750681,1.0284976,2.0876257,66780.0,0.74,2.0,5777.599412805147,0.0029809427773314,0.0052529256547175,6.0,61.41777463337415,0.02632028033315259
11,28516.895,27105.725,29987.748,1.8179421,1.125604,2.9672084,104940.0,0.24,8.6,0.004185921417812,0.0022227849862437,0.0041907897336608,6.0,61.41777463337415,0.0868395770065703
14,15809.663,15056.35,16603.172,1.633317,1.06396,2.714023,162180.0,0.31,6.3,0.4174376001207055,0.0023674956776088,0.003371320732074,6.0,61.41777463337415,0.1472656709409591
17,8928.17,8495.979,9380.361,1.6748462,1.0774019,3.061004,257580.0,0.28,6.5,0.0482598486457576,0.0009509851751412,0.0026752851133031,6.0,61.41777463337415,0.20099475245079623
20,4547.4067,4326.058,4780.4346,1.7790294,1.113188,4.0506554,381600.0,0.4,4.0,5.694754456496058,0.0008522557684143,0.0021980660924352,6.0,61.41777463337415,0.2577152959547019
23,2160.4749,2054.5764,2273.1846,1.8601742,1.1629676,3.4032485,610560.0,0.35,4.7,0.5076688624020432,0.00134447558846,0.0017377962858799,6.0,61.41777463337415,0.3114429156762565
26,900.7158,848.15436,965.5392,4.115283,1.5789286,15.710218,973080.0,0.11,15.0,1.1679836218556209e-17,0.0017285285820874,0.0013765848003003,5.9,61.37698330025889,0.36313363795875697
29,316.848,290.46594,357.9198,14.169542,3.1071591,60.432312,1376940.0,0.1,12.0,1.13770539410187e-19,0.0053280481053992,0.0011572531101864,5.9,61.37698330025889,0.4095048571986276
32,36.040783,34.37498,37.77347,1.3440132,0.8827634,2.3539827,419760.0,0.38,5.4,0.0156322581718723,0.0013219914029189,0.0020957932105484,5.8,61.33296836816337,0.4613303425248674
