band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,986.1183,606.2636,1555.9465,356.08157,99.1333,600.4443,45000.0
5,583.5667,329.2523,1187.5143,813.59064,103.77999,2060.548,117000.0
8,195.3765,114.556244,365.5742,612.8061,92.325806,1727.8018,189000.0
11,117.89767,48.12065,487.72107,5769.239,83.0579,6259.8403,495000.0
14,40.27101,20.443539,131.92311,2610.0828,75.71078,4860.0464,1134000.0
17,24.611858,9.834547,129.4588,11181.922,65.416466,7685.5044,2574000.0
20,13.320553,5.6687274,65.31008,6724.6265,70.291565,6708.6846,5967000.0
23,6.57903,2.2548687,43.81896,16738.59,63.702858,8285.558,13887000.0
26,3.9891655,0.64768773,40.324917,32596.104,71.61246,9318.733,31968000.0
29,0.42680618,0.08100994,3.4509234,26453.193,91.602455,9072.577,73701000.0
32,0.015852839,0.008302459,0.04424721,1816.9076,91.58009,3932.401,59634000.0
