filter_idx,skew,skew_ci_low,skew_ci_high,frequency,wave_number,aspect_ratio,theta,nonskewed
0,0.09185739808219993,-0.17566784832522558,0.36190951135024957,0.03,2,0.5,0.0,True
1,0.240326981451717,-0.10150517286728358,0.5817341579752087,0.054,2,0.5,0.0,True
2,0.3086648206370515,-0.11787788263164604,0.7158573536537237,0.096,2,0.5,0.0,True
3,0.28402058964426424,-0.20628503055621694,0.784076164722052,0.171,2,0.5,0.0,True
4,0.26357071444680813,-0.23410660231619998,0.7401916436506559,0.306,2,0.5,0.0,True
5,0.07867251397170442,-0.23478205749118816,0.39347929149665795,0.03,2,1.0,0.0,True
6,0.2380666187059832,-0.2244898302197875,0.66063351927574,0.054,2,1.0,0.0,True
7,0.3242415151757617,-0.18351997685591795,0.8835919727649391,0.096,2,1.0,0.0,True
8,0.29673875453705456,-0.28844581779982914,0.9157534826871953,0.171,2,1.0,0.0,True
9,0.2554888122992401,-0.43742387798006827,0.9270276067105466,0.306,2,1.0,0.0,True
10,0.03914928551320695,-0.29612039174956195,0.411733368099166,0.03,3,0.5,0.0,True
11,0.1269790725821798,-0.416962306623038,0.6820457812428559,0.054,3,0.5,0.0,True
12,0.15958825234321758,-0.5061278048105231,0.7605613964110747,0.096,3,0.5,0.0,True
13,0.13276940884390379,-0.5696115182614033,0.7703151101408218,0.171,3,0.5,0.0,True
14,0.13728843083329592,-0.6050429661460713,1.0724847706504061,0.306,3,0.5,0.0,True
15,0.03361483074922785,-0.3989840047764933,0.4436179196715883,0.03,3,1.0,0.0,True
16,0.11782138560758382,-0.747918419291979,0.8593574897311252,0.054,3,1.0,0.0,True
17,0.16477204700949696,-0.6716190574376202,0.9010657061212413,0.096,3,1.0,0.0,True
18,0.14880702003432486,-0.7943969352288253,1.157605547004047,0.171,3,1.0,0.0,True
19,0.137164477968999,-1.0125478659812948,1.4556698105923398,0.306,3,1.0,0.0,True
