band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,0.0062242723599450845,0.005616403527475764,0.006948655210401904,14.989051207647872,7.786323242851422,30.58036590603767,99231.0
3,0.003741182321601878,0.0032776451403645074,0.004300311081307651,26.177943623819065,13.67402907681406,48.152450118610034,110499.0
5,2.1262888721556195,1.9411363583820938,2.317538500463483,9.830699481569098,8.672312885896448,11.078053930551123,1094491.0
6,1.6132178006814049,1.47493874225802,1.7555943881646945,9.456203992043577,8.476334739047147,10.481188490580019,552872.0
8,0.1936451870035267,0.16749665127027752,0.223442385235689,29.706986778676423,20.31501577050236,40.39455327594143,3583528.0
9,0.03793951406022699,0.03364771172671604,0.04341368259973023,22.232471452042166,10.674613496504204,57.99783267537896,5376893.0
11,0.01658153804870955,0.013687960379131309,0.020032873989882707,51.762560057890894,32.29594568092317,93.95927635008256,6813712.0
12,0.009707433181393062,0.0077729308592206685,0.012112249463149627,71.96290528042663,43.92996339679557,138.4559529172647,22438943.0
14,0.0005606458474432742,0.00044155289959041274,0.0007527748611574544,107.16747963454006,42.16712250921196,348.55803539808966,12633705.0
16,0.00013118439753722735,8.31172291106527e-05,0.00022107794239351403,396.77134331623614,115.92174038673282,1093.000104226744,8261428.0
