band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,1177796400.0,1085633300.0,1276274000.0,7.8894424,6.780443,9.289664,100000.0
5,2881984000.0,2720006000.0,3048030700.0,2.91473,2.5252979,3.3321862,100000.0
8,1826215600.0,1719562900.0,1936165400.0,3.3893986,2.9267697,3.8735342,100000.0
11,1400472200.0,1321466100.0,1480592300.0,2.9130716,2.6095655,3.2330897,100000.0
14,291577200.0,266942000.0,317296580.0,9.334773,8.048326,10.74021,100000.0
18,54196784.0,49852116.0,58934950.0,8.521688,6.3026543,12.618799,100000.0
21,23889534.0,21368572.0,26712340.0,16.49205,11.401858,25.397814,100000.0
24,18201182.0,15661617.0,21000344.0,30.35522,24.832424,36.772366,100000.0
27,8259777.5,6916688.5,9736188.0,42.007767,34.169865,51.2364,100000.0
31,228767.81,182654.7,289083.94,77.42566,45.591694,187.90242,100000.0
