band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,0.020206171799534895,0.015851382563493707,0.02558354411818013,83.9643748782025,46.90928712959766,118.14629000392796,99186.0
3,0.2562825871534618,0.21419948030110458,0.30268873484869696,43.13876233030041,35.35115816575595,51.79225766417267,110431.0
5,2.0571446580267096,1.8859699936063585,2.233575476119249,8.796669892079183,7.68701847910973,10.016814999835695,1093994.0
6,1.4508821862765875,1.3253389668347684,1.5804668663245915,9.696205014115316,8.608606763259454,10.835801079482565,552599.0
8,0.16022037907064027,0.13824909910201044,0.18577005898272445,31.333083332888705,19.939225170464915,45.38765166313733,3581736.0
9,0.03962032123184069,0.03509179158961036,0.04533170330249283,22.360826075256497,11.461387997339607,58.472622473096486,5374189.0
11,0.01034451311783529,0.008290385149503044,0.013070788599976913,75.4221156600959,36.70140323794137,175.43502226421492,6810311.0
12,0.003919518787078979,0.0029251244564035142,0.005474489093029189,150.81899328576188,53.98029830902165,398.55932965322484,22427727.0
14,0.0003159101213440701,0.00021223539681544968,0.0006921918622210687,864.0759688403095,55.67794069162155,2196.8622038416393,12627411.0
16,6.496193448355957e-05,3.5087437869806174e-05,0.00014680025532945898,1081.72336312445,139.23712995980688,2712.9518524852406,8257312.0
