band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,9.598991,9.110358,10.110742,2.0195932,1.4713491,2.7044363,31800.0
5,5.0916963,4.8374734,5.35815,1.9039826,1.2757837,2.832162,41340.0
8,2.78387,2.6445515,2.9278166,1.937604,1.3123013,2.8375485,66780.0
11,1.574336,1.4918145,1.6621114,2.370253,1.3658774,4.514517,104940.0
14,0.8576356,0.8146115,0.9038127,2.089291,1.2751459,4.009901,162180.0
17,0.4833461,0.45873824,0.5095547,2.1518784,1.2933547,4.513294,257580.0
20,0.24735701,0.23467137,0.2616735,2.4168644,1.2767596,9.097979,381600.0
23,0.12082742,0.114649996,0.12747675,2.248149,1.3707936,4.596758,610560.0
26,0.052978814,0.049796898,0.057024956,4.653831,1.6947181,18.998148,973080.0
29,0.020104643,0.018493604,0.022679133,13.155254,2.838861,66.09846,1376940.0
32,0.0027146097,0.0025864688,0.002846731,1.4597125,1.0056723,2.2622225,419760.0
