layer,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,best_r_eta0,kstest_stat_eta0
0.5,2.509464740819696,2.164636413854801,2.919924558328429,1.2695812588565645,0.3892543136052939,3.209121581420949,10000.0,0.93,0.7,0.0037290655820219,0.013564202793681,0.73,0.01246171123178974
1.0,2.503884794784533,2.181268220871509,2.858192521430212,0.9410489507049302,0.2722061253037923,1.9433802028631548,10000.0,0.97,0.9,0.0045448160144663,0.013564202793681,0.72,0.01367606324738474
1.5,2.48561751618405,2.190890780323969,2.805047971576794,1.1243233199544689,0.3130081350360396,2.095815904280039,10000.0,1.1,1.4,0.0056608149528823,0.013564202793681,0.72,0.01541220166909929
2.0,2.4892607138832363,2.161047621229271,2.8728173861318127,1.100882582576749,0.3174154781260588,2.1620954814329063,10000.0,1.04,1.2,0.0054415932995777,0.013564202793681,0.72,0.01750824383406202
2.5,2.557698338785922,2.212251982859934,2.948828559152408,1.232572662212312,0.4680366325583995,2.6464214721214514,10000.0,1.12,1.4,0.0109475090999714,0.013564202793681,0.71,0.015344104891499621
3.0,2.5032413309181147,2.13414153277859,2.9060653410324258,1.4284540626065363,0.2810396473172915,3.171829696831804,10000.0,1.09,1.4,0.0055781482393805,0.013564202793681,0.72,0.016516705715670876
3.5,2.576196978944743,2.1682124188975966,2.963658380478265,1.2884434856413876,0.4244409942841766,2.5941100915551534,10000.0,0.97,0.9,0.0074960198948549,0.013564202793681,0.72,0.01674226743981172
4.0,2.498212031965651,2.1392874336884367,2.869815629317577,1.1922450887049676,0.2460197461805337,2.45836577602749,10000.0,1.06,1.3,0.0081084013934367,0.013564202793681,0.71,0.019338132698657196
4.5,2.490417088358776,2.159641752750467,2.849280381901005,1.0151782774886184,0.3138182408351996,2.1137767880472045,10000.0,0.95,0.8,0.0044500981424154,0.013564202793681,0.73,0.014109953851607737
5.0,2.448618996131548,2.109040956749154,2.8129066319803457,1.0963869324827469,0.3086953472919952,2.1663045961802783,10000.0,0.95,0.8,0.0109516332192546,0.013564202793681,0.71,0.01823823231452959
5.5,2.4935800594148483,2.1512499796586755,2.879952950977388,1.0958657302012478,0.4322414607111233,1.943415531050224,10000.0,1.06,1.2,0.0064110661261914,0.013564202793681,0.72,0.016704067781873166
6.0,2.543239126890529,2.211810850534796,2.9621130850203854,1.49647336883716,0.4467964024369306,3.4298356612881946,10000.0,1.0,1.0,0.0055386543481906,0.013564202793681,0.73,0.0156956618611237
6.5,2.534603827147415,2.186009590316849,2.9253056326482865,1.1251949311116114,0.2596542696852138,2.4203554096453312,10000.0,1.24,2.1,0.0093475682767318,0.013564202793681,0.7,0.01828870183597997
7.0,2.5705890065899526,2.2421521278521697,2.9432224214684504,1.2106633370110682,0.3698452302669484,2.4531178930822213,10000.0,0.91,0.7,0.005747786229747,0.013564202793681,0.71,0.015044817589247472
7.5,2.5478761090879023,2.218674178355281,2.9448336435594724,1.2807257415368003,0.4312977802450724,2.7057136771977097,10000.0,1.0,1.0,0.0058232134101589,0.013564202793681,0.72,0.015116922899739094
8.0,2.5270563358880738,2.2004043770294603,2.94155911036457,1.1809289234361957,0.4238233842464027,2.399797009993192,10000.0,1.0,1.0,0.0048649959756515,0.013564202793681,0.72,0.014583551825976926
8.5,2.499161592166357,2.15980123692926,2.868179892660187,0.9885052610900438,0.3413286066775673,2.14414413035358,10000.0,1.03,1.2,0.0063374751094448,0.013564202793681,0.71,0.01740000462545771
9.0,2.4824486404117656,2.1502457831456163,2.8713583556568016,1.2750466539140284,0.3676586614560787,2.9354183802749625,10000.0,1.01,1.0,0.0056307487711193,0.013564202793681,0.72,0.015172963123105676
9.5,2.5121496440787725,2.1839167270034383,2.889865706477873,1.0750170935066246,0.3605588593135965,2.129241477501904,10000.0,0.95,0.8,0.0066913429338695,0.013564202793681,0.72,0.01620591665717397
