filter_idx,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group
0,5.921243943349426,4.398236472144693,9.276792022486735,12.86712531769018,4.1483905591837145,117.27890345609818,786432000.0,dual_color
1,6.54566467194417,5.57883912152359,7.766224149895429,1.4967764421410168,0.038646785422465864,28.392689374876547,786432000.0,misc
2,7.245826107471721,5.373190567751938,11.175089567833123,17.52815668791822,5.290754634282569,139.6970306849484,786432000.0,dual_color
3,5.0949012448875814,3.699696945197784,8.555593502437395,20.361235090199546,5.205688547252343,155.76831094697476,786432000.0,single_edge
4,9.413251379764262,6.89730967351429,13.694017987566355,12.372360705118126,5.592856829481699,95.55953691484106,786432000.0,dual_color
5,5.973732024897065,4.572061936768455,8.356222783931578,10.333351519307957,3.951511729366328,83.4924487985001,786432000.0,dual_color
6,3.27860038907789,2.484977937927192,5.190125130002743,13.948830305687459,3.69865319298981,131.89823606118554,786432000.0,single_edge
7,3.97402390657081,3.4434928311328363,5.025917330876656,2.354356977306228,0.28585745980149785,37.74424718739204,786432000.0,inside_out
8,0.3564795582525897,0.2595694139839283,0.7100348675293888,26.355419751323154,3.699825369604248,244.02740367198936,786432000.0,misc
9,2.7446345695651204,1.8691923224497626,5.773104745137454,40.412100930954374,6.500347454306261,314.6040796596022,786432000.0,multi_edge
10,4.007260447632658,3.042592197374325,6.193152012767286,13.32872178197687,3.9668761615262973,140.0082280991994,786432000.0,single_edge
11,2.953220615709476,2.1087310751191097,4.884155696410106,19.376286709973776,4.936356736707754,160.93802578680467,786432000.0,single_edge
12,2.946583536931624,2.087393192693451,5.195581427780852,25.29212532471931,5.122858534679377,215.62704169741937,786432000.0,single_edge
13,4.518117004316443,3.4333456775009297,7.697007081098767,18.43528067202643,4.5522454309758675,183.4565451145649,786432000.0,single_edge
14,4.944108647191598,3.678367376523628,7.557196261912174,14.819905402844572,5.136931553031947,115.6542624110565,786432000.0,single_edge
15,5.8073318977054065,5.078163484968822,6.962567500915948,1.5890490953769714,0.059113148494282425,28.125440831588353,786432000.0,inside_out
16,3.6812894318573792,2.667182386418007,7.658081728250213,35.86553452256256,4.825967246859831,296.78072173419974,786432000.0,multi_edge
17,5.36323503942217,4.001265084194845,7.235797362110436,11.103629036753704,5.685886445723232,64.04419803363025,786432000.0,dual_color
18,2.6850921170460365,1.866894514266058,5.320071748811783,31.640433804440107,5.691188948915795,252.5178463318915,786432000.0,multi_edge
19,9.558426074774358,8.365358991363507,11.04937853870656,1.2636101351994409,0.18912485378186913,12.288100322315962,786432000.0,inside_out
20,6.272533022061715,4.615411406691109,10.352952803433814,16.54069331020974,5.576359850308439,141.07329008684715,786432000.0,dual_color
21,19.011257302196103,16.364802354357504,23.165599369443743,1.6335171893948148,0.32608346824473655,21.368965997628738,786432000.0,eye
22,4.5664560025367,3.3106287701301795,7.667943159828623,19.155513832857768,4.893637902796477,174.81856877156918,786432000.0,multi_edge
23,3.7276345169028664,2.876616589908329,6.928297704228687,19.68934343842278,4.92715486025984,219.60358424658315,786432000.0,single_edge
24,3.9209679519200535,2.7441876603298656,8.38335225506036,31.631814537838537,6.596024443093016,307.6677847439075,786432000.0,single_edge
25,4.497509909092733,3.1731096706600415,9.835607573869106,36.827136551435515,6.29058352417467,255.82828442636315,786432000.0,multi_edge
26,3.8278274770097593,3.045944071259644,5.127958146672198,8.855608750443183,3.0735029766620974,78.2608234352107,786432000.0,dual_color
27,3.037912790007883,2.0444219670401096,7.73609949737544,52.18141876278137,7.037773375367223,357.6378164526814,786432000.0,multi_edge
28,4.305212342248103,3.0521951168169674,7.578664860585524,25.084837007267797,6.180808509116387,195.84478572121125,786432000.0,single_edge
29,2.544030406615645,1.7875191368536811,4.87962248158411,24.09248069683563,6.096552017019784,248.6576988741515,786432000.0,single_edge
30,3.2381893295694444,2.211179314279187,6.846756511214928,32.64909422715599,6.750480043191327,310.28451542254794,786432000.0,single_edge
31,4.6024111400071295,3.6404684876758466,6.777042985385482,6.817995467719227,2.093902091023486,94.15291446073164,786432000.0,eye
32,3.5523497508344555,2.6378781095589083,6.754818037330991,19.67516401091426,4.475806659177667,204.65445199590187,786432000.0,single_edge
