band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,0.0062829974044180574,0.005639000177253862,0.0071056667600868165,17.992874823628203,8.041698427836359,47.952884110971326,198462.0
3,0.003774718604554189,0.0032623890478284874,0.004501018096327398,38.15725805790927,12.843534568673364,100.19504508149134,220998.0
5,2.1275488137613587,1.9421334603293319,2.318822590524855,9.8653864234645,8.705351799048977,11.115357611262866,2188982.0
6,1.5995419144833087,1.4623833574556828,1.7406531782493646,9.458891924125298,8.464685370911152,10.498789219788321,1105744.0
8,0.19336354777168566,0.1672958131203702,0.22312900584646989,29.65458590896126,20.276583400684554,40.35313708864043,7167056.0
9,0.03788458805722493,0.03361034507432866,0.04337345419958873,22.216515599875894,10.596408997955761,59.8181213351866,10753786.0
11,0.016592362403861544,0.013690652012811793,0.02004881824504337,51.97006188266093,32.29952785692806,94.28744835532827,13627424.0
12,0.00970540634170407,0.007773766958186066,0.012107601745689225,71.81064801279534,43.844997453912555,138.3292695682652,44877886.0
14,0.0005655160631541452,0.0004415229389239006,0.0007978775929939012,135.13160903348796,42.11703699061746,480.9716836544641,25267410.0
16,0.00013102785264468452,8.294108076739756e-05,0.0002208366061909492,397.28591255076543,115.83713498162133,1094.6164097335043,16522856.0
