filter_idx,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group
0,25557.50696359475,17784.02737901594,34821.5233263343,14.103314437265606,7.3712895428007075,30.99795702012719,196608000.0,dual_color
2,31216.835224148475,21645.356193160245,44860.709690887714,17.325534642831222,8.964822990755026,41.81805038868225,196608000.0,dual_color
3,19074.563320155146,13318.810562459443,28014.438260373183,20.931499377230583,7.929587669400104,105.50734268693452,196608000.0,single_edge
4,43197.32052953235,30021.287302465767,59472.30371852046,16.387454805769888,9.644417434008783,27.898412632183224,196608000.0,dual_color
5,29125.342551899656,20674.787246601285,38400.75472046483,12.667191958126807,8.048478011700958,19.809271778033263,196608000.0,dual_color
6,10468.840379784124,7462.465898351611,15051.544133883255,16.820596233986787,5.3019384533918,95.35189905344453,196608000.0,single_edge
8,1890.4236813227692,1412.182015416377,3251.148007658224,17.502949423167912,3.3268667148421986,189.72255242889298,196608000.0,misc
9,13603.625804520329,8820.400445916459,26036.610465592228,38.3034465964858,9.908202535342935,261.0772366200588,196608000.0,multi_edge
10,13915.874905648718,9941.55237984232,20381.31681041828,13.715730990039582,6.056534420468284,62.625040671632966,196608000.0,single_edge
11,9575.382857459188,6645.273393376068,14751.059279534855,22.35652881348673,7.183941165119127,130.9704244145169,196608000.0,single_edge
12,9791.519515771928,6730.1535923770225,17138.020637741683,28.602368494362683,7.3516101345083,177.8285941642691,196608000.0,single_edge
13,15446.018619873434,10681.801469218954,23054.340127734064,17.987155091666125,6.681679281385899,106.12627013927904,196608000.0,single_edge
15,80147.40625765857,71504.94531976682,88800.3112409888,-0.29682180513890266,-0.5412906260504426,0.34772503649773656,196608000.0,inside_out
16,12441.636088990314,8804.856396983367,27083.138035867105,45.16056659487973,6.632185873976327,312.39494470136015,196608000.0,multi_edge
18,9741.152622725058,6412.012033519203,20803.913198901308,47.728810155045736,8.386698606357454,297.87180234834443,196608000.0,multi_edge
20,28317.416224303855,19273.306473164335,39302.81754549583,16.636026300334056,7.8689971016183895,44.06770978155183,196608000.0,dual_color
22,17696.41238525891,12231.025937618706,27259.99555663602,21.960995879590353,7.610858791805129,137.8201751117851,196608000.0,multi_edge
24,16064.011163632766,10383.056710600547,25111.391153178472,27.870838502056667,11.06759461859977,126.98722120449197,196608000.0,single_edge
25,20115.07301210891,13298.287940604,34351.78894378933,26.843673782949544,8.877642328293437,179.17590649328073,196608000.0,multi_edge
26,16272.687401533132,12628.861580773917,21027.805102293507,9.42829483435604,4.7797979800039805,27.19046557767626,196608000.0,dual_color
27,14630.104125693104,9618.273978181795,26585.054080887046,31.8218214686531,10.048224298144971,207.7104357854936,196608000.0,multi_edge
28,17346.803253689013,11613.932097362333,28390.92701025592,25.50141278687087,11.204052562941984,106.24483215919618,196608000.0,single_edge
30,12863.835804906892,7884.943433040174,21767.27181359712,32.23196503375547,10.670481539283974,169.6805265165179,196608000.0,single_edge
33,9080.116773202906,6238.687682097036,22987.03661976066,61.601765836103795,7.944191812231635,392.2289520800814,196608000.0,multi_edge
34,13661.99430822942,8482.450942945272,22110.238672510066,29.893661071251273,10.85185781626105,121.26736166225467,196608000.0,single_edge
38,29633.267454183326,21917.44799018546,38484.32531631611,11.139394684677654,6.3695163869763025,20.396829165366842,196608000.0,dual_color
41,10476.093081576824,6989.440475864026,22442.685864849453,51.58417746683723,7.935737313170021,312.6229967884601,196608000.0,multi_edge
46,14964.951000879124,12403.556090566504,18134.593616640108,3.178771957188009,1.1872887766677391,7.715179427280657,196608000.0,eye
47,23886.327805797053,17487.64555470871,32642.30947859824,12.742079971341642,6.904031027402917,21.275404768887466,196608000.0,dual_color
48,11680.860845995703,7640.158778020882,17721.072477590766,21.729291166626957,9.159051253996891,91.98072526670518,196608000.0,single_edge
49,22227.101566852387,15852.873924713691,31220.64240454312,15.333618409595005,6.896249773242903,83.99322920646972,196608000.0,single_edge
50,12733.596620617798,8910.361813937012,19277.853332854185,18.115545854331582,6.481916568789036,87.36406937968998,196608000.0,single_edge
54,18552.33815273171,12320.944979959477,31294.174005942285,29.791303249865585,9.01596636821798,207.75056815673787,196608000.0,multi_edge
55,10138.764978575302,6957.399135607216,17882.066683626646,29.751259065433914,6.701068803536051,226.89093678838518,196608000.0,single_edge
56,30510.68318122322,20669.007630222175,43172.1698669168,16.95593419261388,9.040116799536543,28.8248134845936,196608000.0,dual_color
57,11465.304310862637,8071.095565478292,19217.60001695921,20.96522833718373,6.217022569971844,125.38501928145253,196608000.0,single_edge
59,33620.99283819956,25722.91588480823,46525.958700725045,11.036120675536495,5.96370973769379,26.213413233647074,196608000.0,dual_color
60,3129.027983117791,2249.510185833177,6049.401474135914,29.999233865126584,4.84198121575589,259.56220024723905,196608000.0,misc
62,27966.576154320544,19757.67367550639,37290.93694585794,13.978119161764223,8.230923021423674,21.644439505308252,196608000.0,misc
63,9030.163691109503,6126.888158379812,23965.883280293896,69.86094563824545,6.756055864853194,410.67198829822223,196608000.0,multi_edge
