band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,254220171394581.84,228411745491661.66,281956680597499.3,3.1415943703577662,1.8963027811271147,4.345706077555075,1536.0
5,545026481264862.9,450242330542646.2,650107359596263.4,44.455052536070184,35.45340732488548,53.178632170732136,4608.0
8,86644302951738.28,67042058430787.77,111114197363906.92,94.57744852489012,45.79447541151142,128.29273728654314,13056.0
11,10889009452007.496,8605393873739.011,15116974633507.434,131.51655750098692,16.62969064642714,388.1532589859694,36096.0
14,249872429785074.3,225496676682018.4,276105591113628.56,13.413422294974765,10.270172505450839,17.89299768277491,99840.0
17,387212213033422.0,363377255615163.3,412924202118811.4,4.206112345917656,2.855971073120954,6.8804297382742785,277248.0
20,82738042897389.08,76747552468559.53,89315824630031.27,6.669304853590264,4.331419125875922,12.72451151810053,769536.0
23,7687085892015.024,7267993811548.149,8140701036099.118,2.8105111235892473,1.711372897678501,5.685823128214363,2137344.0
26,3254620063763.2153,3037093962014.514,3506573739297.003,5.6519612232048,3.257847586971226,15.108452549844166,5931264.0
30,45058047591.93502,41586602467.62783,48865284076.029915,7.682572982732644,5.242259995851269,14.198381568235437,4459008.0
