band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,2229190.8,2046463.1,2424414.5,8.789761,6.3062572,11.665107,12760.0
5,867467.25,789218.06,957119.7,11.875949,7.2071147,22.1771,25080.0
8,297809.22,266661.8,334030.75,17.167128,9.344622,31.05464,51040.0
11,93437.62,81947.35,107489.625,26.179823,13.240024,49.926826,95480.0
14,28372.748,23879.984,34209.855,47.28226,20.544512,100.46818,183920.0
17,9490.91,7512.134,12136.646,85.988396,36.84343,182.03812,355960.0
20,3230.207,2419.3528,4355.716,130.76617,55.898933,292.45355,695640.0
23,1231.518,861.39404,1754.0226,197.11214,85.63243,395.4123,1337600.0
26,552.4955,331.3284,916.7902,415.72763,122.56543,1057.7993,2583240.0
29,144.86983,48.71391,433.85837,2696.1328,191.60127,5245.93,3731640.0
