band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,0.042634167,0.03849313,0.046925314,0.2585659,-0.094795756,0.6505477,1544.0
5,0.04408071,0.042167287,0.04599743,-0.012097597,-0.15629561,0.14105737,6948.0
8,0.043879498,0.04186609,0.04590696,-0.06482196,-0.18496819,0.061279472,6176.0
11,0.04252561,0.040287446,0.04479884,-0.031808615,-0.19345067,0.15081906,4632.0
14,0.042739898,0.041162577,0.044312317,0.069702625,-0.06969812,0.22657305,10036.0
17,0.043005385,0.041444935,0.044570133,-0.010769844,-0.12482242,0.10763927,10036.0
20,0.041771967,0.040289104,0.04330341,-0.044644833,-0.15162332,0.065918714,12352.0
23,0.04119349,0.039726634,0.042691864,-0.060322285,-0.17217101,0.057891216,17756.0
26,0.04167278,0.04017216,0.04321712,0.024414778,-0.09599313,0.1553297,25476.0
29,0.042843882,0.04130837,0.04441479,-0.01756668,-0.13875684,0.11761901,22388.0
32,0.042153094,0.040623397,0.04371503,0.018659592,-0.10465528,0.15361518,13124.0
35,0.042077452,0.040226165,0.043966524,0.047956944,-0.090923406,0.20017983,6948.0
