band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,best_augmented_var,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,1822473700.0,1822473700.0,1788676900.0,1763098400.0,1740508200.0,1719816600.0,1682243100.0,1648239400.0,1616860500.0,1587546200.0,1559911000.0,1484838100.0,0.0330405376870467,0.0324846415792199,0.0332355827093487,0.0339087886120836,0.0345313751103776,0.0356778680930015,0.0367372941507181,0.036521473454858,0.0358019318132291,0.0360451207118134,0.0386207284134173,0.03373875396502313,0.03338612617725295,0.03313713642283424,0.032846498769056875,0.03248464157921996,0.03215875918324851,1822473700.0,,,
5,2077597800.0,2077597800.0,2047801900.0,2024090500.0,2002767200.0,1983016300.0,1946904200.0,1914085200.0,1883755900.0,1855407400.0,1828717400.0,1756368400.0,0.026077166449577,0.0266879688233192,0.0274218872490252,0.0271205812079133,0.0270220276966571,0.0282524843474799,0.0277811184385957,0.0289436925587383,0.0286606578832337,0.0294551802687833,0.0303206295277763,0.026332853850121296,0.02661391866368945,0.026913183788491224,0.026167536723657042,0.02572471853883307,,2077597800.0,,,
8,1658434800.0,1658434800.0,1636122900.0,1617916400.0,1601670000.0,1586677600.0,1559221600.0,1534192400.0,1510902900.0,1488952400.0,1468101500.0,1410765600.0,0.0236492306382108,0.0240954062559561,0.0249062445499749,0.0247871473197382,0.0245526476964807,0.0253581350620435,0.0255937051048398,0.0257129526831373,0.0266123362861593,0.0262325705435326,0.0273816562708941,0.02375176622905889,0.023972319859591862,0.024217485010428863,0.023781905613841747,0.02309093370283566,,1658434800.0,,,
11,1349044400.0,1349044400.0,1334840700.0,1322304900.0,1310596000.0,1299481700.0,1278573600.0,1259014500.0,1240518500.0,1222903900.0,1206038700.0,1159070200.0,0.0323819985788835,0.032959351618796,0.0334726119593063,0.0339570627576203,0.0341706984299935,0.0335977071871278,0.0333876226351957,0.0341902008557258,0.0349626349003077,0.0357187565372059,0.0355412943008786,0.032165854068415434,0.032255670209274334,0.03203947335982303,0.031803386697049615,0.031541061004959514,,1349044400.0,,,
14,249059410.0,249059410.0,242152850.0,236866580.0,232249700.0,228061040.0,220559790.0,213895700.0,207844800.0,202273840.0,197096510.0,183379890.0,0.0201696463580213,0.0215736063296132,0.0226807133506977,0.0236679890060591,0.023953215892004,0.0228259985586509,0.0228714183317713,0.024290492907441,0.0256426259716268,0.0269359425426373,0.0266194105239034,0.021122747028481548,0.020572391147817393,0.01979839433331937,0.019983850320092422,0.01909992572753272,,249059410.0,,,
18,60630990.0,60630990.0,58333950.0,56839504.0,55616610.0,54558880.0,52763120.0,51250684.0,49930256.0,48751468.0,47683300.0,44952884.0,0.0189354835339298,0.0180985508321042,0.0192302382793541,0.0204520426562887,0.0206508986117341,0.0204684572406301,0.0220768129013526,0.0223270345947884,0.0224180270006049,0.0236292469277328,0.024818142476794,0.01839985642163211,0.01855694186280754,0.017820704928580122,0.0176640166775337,0.01678805655359561,0.015812722705886406,60630990.0,,,
21,27654232.0,27654232.0,26324996.0,25450456.0,24734068.0,24115386.0,23068984.0,22193688.0,21435880.0,20765010.0,20161714.0,18641012.0,0.0162664086474609,0.0189681996253086,0.0180099257628421,0.0172262686666486,0.0177294874220072,0.0201034559454854,0.0217646064991509,0.0207379491430811,0.0211363346721306,0.022680675909176,0.0233055025038722,0.015310381032430986,0.015583771698962759,0.014069157328518891,0.014654484709559323,0.012787348148459055,,27654232.0,,,
24,19492980.0,19492980.0,18377016.0,17535024.0,16815790.0,16178502.0,15077146.0,14141253.0,13325461.0,12602980.0,11955654.0,10350176.0,0.0109674830077857,0.0102040448505962,0.0078672593104385,0.0067595693470371,0.0075168331995755,0.0090113581825387,0.010467401679457,0.0119409236442651,0.0135469904892055,0.014898736671534,0.0145469766959153,0.00844334238382416,0.008265570964963664,0.0076955112126826375,0.007244781506128284,0.006759569347037142,0.006227698216053068,19492980.0,0.00629649805071536,0.005758262027676819,
27,5376906.5,5376906.5,4936710.0,4646615.0,4411480.5,4210180.5,3874120.2,3597784.0,3362416.0,3157462.8,2976338.2,2535687.5,0.0159180328620005,0.0167382870665663,0.0167382870665663,0.0147238346058223,0.014621975703737,0.0144411843972803,0.0142870052342792,0.0141509278934749,0.0140294204467051,0.0139219138108525,0.0139903557806536,0.012372466919832181,0.012399528144691585,0.012427609203197187,0.012456553672156812,0.012257871657842534,0.01228583686622553,2976338.2,0.012314315130328768,0.01234417758983919,0.012375993857315137
31,164567.6,164567.6,140576.56,128443.414,119291.484,111854.75,100145.33,91098.74,83761.99,77623.62,72370.3,60201.19,0.0357553215494444,0.0357553215494444,0.0357553215494444,0.0356228365808087,0.0354735785576894,0.0355663167934168,0.0352717417419946,0.0349998473239007,0.0347445078033699,0.0345017594456988,0.0357553215494444,0.027325488617871097,0.02742489079176802,0.027495591178963996,0.027495591178963996,0.027495591178963996,0.027495591178963996,63780.06,0.027495591178963996,0.027495591178963996,0.027495591178963996
