,group,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,initial_r,initial_eta,kstest_stat_initial,kstest_stat_cutoff_0.05,best_r,best_eta,kstest_stat_best,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma,dataset,subset,transform,orientation,channel,github_plot,dataset_type,hull,best_beta,best_1/beta,beat_all_priors,best_prior,failure_category,failure_type,which_ones,intersect_roi
0,2,1292.9467,749.10767,2108.4307,421.84155,123.97443,696.23804,45000.0,0.1,2.5,0.0074681549659173,0.0063984224173442,0.1,2.3,0.0072273556798421,11.0761,0.0480104,1.402899999999999e-90,9.7905,0.0218713,3.94117e-19,7.74971,0.0190292,1.38299e-14,0.018082281,agriVision,full,fourier,None,blue,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_2.jpg,remote sensing,<scipy.spatial._qhull.ConvexHull object at 0x000001E573C474D0>,37.99999999999999,0.026315789473684216,1,GenGamma,practically_pass,pass,None,True
1,5,662.6544,382.08975,1248.6178,628.03,108.21224,1663.2395,117000.0,0.1,2.0,0.0053860610487393,0.0039690102483117,0.09,2.4,0.0049056757195364,7.63711,0.0447699,3.208879999999999e-204,6.79148,0.019793,3.01331e-40,5.36512,0.0149467,3.91042e-23,0.007143833,agriVision,full,fourier,None,blue,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_5.jpg,remote sensing,<scipy.spatial._qhull.ConvexHull object at 0x000001E575A51C50>,43.333333333333336,0.023076923076923075,1,GenGamma,practically_pass,pass,None,False
2,8,256.6339,133.79204,650.8456,1363.7307,99.3656,3639.2358,189000.0,0.1,2.9,0.0053392999873234,0.0031230403979095,0.09,3.3,0.0050881362588245,5.05278,0.0406657,5.1639499999999986e-272,4.49151,0.0156683,9.83935e-41,3.55617,0.0128219,2.0311e-27,0.00011207065,agriVision,full,fourier,None,blue,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_8.jpg,remote sensing,<scipy.spatial._qhull.ConvexHull object at 0x000001E575A63410>,53.333333333333336,0.01875,1,GenGamma,practically_pass,pass,None,True
3,11,121.96157,57.215298,390.19293,2698.3176,93.68093,4889.278,495000.0,0.1,3.1,0.0038192886142266,0.0019299803152697,0.09,3.5,0.0034754958858495,3.63857,0.0376707,0.0,3.22388,0.0125391,4.945439999999999e-68,2.57712,0.00990488,1.30664e-42,1.2781938e-05,agriVision,full,fourier,None,blue,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_11.jpg,remote sensing,<scipy.spatial._qhull.ConvexHull object at 0x000001E575A63F90>,55.55555555555556,0.018,1,GenGamma,practically_pass,pass,None,True
4,14,48.46801,23.179575,151.67955,2654.2952,86.30504,4711.6294,1134000.0,0.1,3.4,0.0027243741277807,0.0012751894232635,0.09,3.6,0.0024152265629433,2.52103,0.0363698,0.0,2.22509,0.0105889,7.199269999999996e-111,1.79531,0.00918622,1.5108799999999993e-83,3.5861502e-06,agriVision,full,fourier,None,blue,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_14.jpg,remote sensing,<scipy.spatial._qhull.ConvexHull object at 0x000001E575A52C10>,56.666666666666664,0.01764705882352941,1,GenGamma,practically_pass,pass,None,True
5,17,28.90038,10.379934,164.69775,12164.642,72.317085,7907.98,2574000.0,0.1,3.5,0.0020881503390833,0.0008464353782179,0.1,3.5,0.0020881503390833,1.78967,0.0357581,0.0,1.57944,0.00974926,6.232669999999998e-213,1.27506,0.0087365,4.485729999999998e-171,3.5623191e-10,agriVision,full,fourier,None,blue,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_17.jpg,remote sensing,<scipy.spatial._qhull.ConvexHull object at 0x000001E575A70850>,50.0,0.02,1,GenGamma,practically_pass,pass,None,True
6,20,13.782273,5.6929874,61.2636,5707.6304,75.890045,6510.244,5967000.0,0.1,3.3,0.002690957508028,0.0005559445407404,0.09,3.7,0.0024191663120811,1.26258,0.0377106,0.0,1.11217,0.0119,0.0,0.896139,0.00965956,0.0,9.295595300000002e-31,agriVision,full,fourier,None,blue,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_20.jpg,remote sensing,<scipy.spatial._qhull.ConvexHull object at 0x000001E575A7B650>,57.77777777777778,0.01730769230769231,1,GenGamma,practically_pass,pass,None,True
7,23,6.417106,2.075519,40.68718,14689.195,66.17716,8234.636,13887000.0,0.1,2.8,0.0035508255323585,0.0003644288842482,0.09,3.1,0.0030096771952777,0.738801,0.0414526,0.0,0.65251,0.0158459,0.0,0.521575,0.012094,0.0,1.0960012999999997e-109,agriVision,full,fourier,None,blue,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_23.jpg,remote sensing,<scipy.spatial._qhull.ConvexHull object at 0x000001E575A8B8D0>,51.11111111111111,0.01956521739130435,1,GenGamma,practically_pass,pass,None,True
8,26,4.0182343,0.58495307,41.423286,32939.27,74.59863,9373.831,31968000.0,0.1,1.7,0.0057471683055792,0.0002401951053511,0.1,1.7,0.0053010243106584,0.330744,0.0484236,0.0,0.294042,0.0231725,0.0,0.231913,0.0185147,0.0,0.0,agriVision,full,fourier,None,blue,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_26.jpg,remote sensing,<scipy.spatial._qhull.ConvexHull object at 0x000001E575A92790>,32.0,0.03125,1,GenGamma,practically_pass,pass,None,True
9,29,0.41692203,0.07470128,3.3163257,27951.705,85.44221,9154.597,73701000.0,0.1,1.2,0.0089995390652392,0.0001581934199511,0.09,1.5,0.0083240700187979,0.10111,0.0546433,0.0,0.0901635,0.0300424,0.0,0.0710989,0.0241607,0.0,0.0,agriVision,full,fourier,None,blue,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/fourier/blue/plots/compare_cdf_pdf_layer_29.jpg,remote sensing,<scipy.spatial._qhull.ConvexHull object at 0x000001E575A7ACD0>,33.333333333333336,0.03,1,GenGamma,practically_pass,pass,None,False
