band,obs_var,var_exclude_0,var_exclude_25,var_exclude_50,var_exclude_75,var_exclude_100,var_exclude_150,var_exclude_200,var_exclude_250,var_exclude_300,var_exclude_350,var_exclude_500,kstest_stat_0,kstest_stat_25,kstest_stat_50,kstest_stat_75,kstest_stat_100,kstest_stat_150,kstest_stat_200,kstest_stat_250,kstest_stat_300,kstest_stat_350,kstest_stat_500,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,best_augmented_var,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
2,1822488400.0,1822488400.0,1788693500.0,1763105000.0,1740523400.0,1719833000.0,1682259100.0,1648251600.0,1616872100.0,1587558900.0,1559929300.0,1484856200.0,0.0329864483019854,0.0324704791580774,0.0332255608243801,0.0338989108350645,0.0345222772580263,0.035673327995114,0.0367329837003084,0.0364677562189892,0.0357477051675824,0.0360283452234906,0.0386106398246703,0.033684910152187664,0.033370478870955386,0.03312192687181405,0.03283188784860469,0.03247047915807745,0.032105669549855664,1822488400.0,,,
5,2078663600.0,2078663600.0,2048852500.0,2025135000.0,2003800400.0,1984039300.0,1947921700.0,1915085200.0,1884749700.0,1856388400.0,1829680900.0,1757292700.0,0.0256640563210909,0.0264915407060287,0.0270069208648733,0.0267076204677617,0.0268045793992843,0.0278385935967068,0.027558479008318,0.0286954874679328,0.028245739425205,0.0292276538349198,0.0299027137501129,0.02607982965978005,0.02620052932297301,0.026500332507634727,0.025971053302936642,0.02531153592455715,,2078663600.0,,,
8,1657425500.0,1657425500.0,1635119700.0,1616922200.0,1600683100.0,1585696400.0,1558250500.0,1533229300.0,1509952500.0,1488018200.0,1467184400.0,1409888800.0,0.0232865797257156,0.0240345079893852,0.0246761836580655,0.0244233966821501,0.0241937643315092,0.0253239704848166,0.0252280187254113,0.0256478660092999,0.0262391674689868,0.02598180017556,0.0272763626955827,0.023613140569818003,0.023614283375359202,0.023858837088325813,0.023713142861216174,0.02274424306128553,,1657425500.0,,,
11,1358281200.0,1358281200.0,1344027500.0,1331435100.0,1319669000.0,1308495900.0,1287469700.0,1267797500.0,1249192100.0,1231472600.0,1214507400.0,1167254300.0,0.0322329044395836,0.0328097636981704,0.0333243588027493,0.0336423273069044,0.0333360952767671,0.0327690398012321,0.0332271976216723,0.0340305674254194,0.0348051509686215,0.0355594813223693,0.0353792330650716,0.03192782385909232,0.03163404249963975,0.03173700453570605,0.03149671137314203,0.03128835428002169,,1358281200.0,,,
14,248553000.0,248553000.0,241649100.0,236365490.0,231750480.0,227565800.0,220075500.0,213421180.0,207380300.0,201816830.0,196644560.0,182936640.0,0.0200755692790011,0.0214785926877666,0.0225827220494152,0.0235696385606223,0.0237573108951831,0.0226201909318795,0.0228019838973678,0.0242176432301622,0.0255645974345442,0.0268529774510036,0.0265651669289092,0.020959501948762838,0.020496194557964698,0.019597472822109663,0.019903731946222858,0.019019043633123373,,248553000.0,,,
18,60670964.0,60670964.0,58375016.0,56881310.0,55658010.0,54599836.0,52802460.0,51289212.0,49968224.0,48788876.0,47719944.0,44987724.0,0.0186582629316144,0.0178185214921886,0.0191495451847546,0.0203910993592566,0.0203730094892522,0.0203341491877331,0.02196433167224,0.0220518051746153,0.0222499195553398,0.023487135899718,0.024639567725979,0.018124660019734784,0.018444033553284264,0.017686360926265687,0.017385675577868853,0.016693300817287537,0.015535459012490094,60670964.0,,,
21,27571328.0,27571328.0,26247180.0,25374678.0,24659966.0,24043062.0,23000580.0,22128154.0,21372356.0,20702926.0,20100808.0,18583378.0,0.0161186564793047,0.0187451659364656,0.0177905381961112,0.0170135256729032,0.0176326214901455,0.0199828536222892,0.0215433382509848,0.0205159251614998,0.0210550098755915,0.0225928051693391,0.0231475665785582,0.015095535104977686,0.01548305576755768,0.013980202157274718,0.014441415162041449,0.01256701295220597,,27571328.0,,,
24,19422758.0,19422758.0,18309920.0,17470874.0,16754510.0,16119463.0,15022163.0,14089627.0,13276438.0,12556265.0,11911190.0,10311413.0,0.0107991238736828,0.010058799238231,0.0077201479084251,0.0067101683410433,0.0074627686353325,0.0089415229929374,0.0103809340481728,0.0118512732147982,0.0134364522625689,0.014862385000017,0.0144674674054046,0.008388942790925023,0.008142599697790576,0.007643086934975025,0.007191537389658359,0.006710168341043366,0.006177362547851985,19422758.0,0.006224695424585702,0.005679675858767941,
27,5368814.5,5368814.5,4929585.0,4640196.0,4405716.5,4204803.0,3869108.8,3593006.5,3357865.0,3153276.5,2972492.5,2532511.2,0.0158532942932967,0.0166892978864339,0.0166561199434986,0.0147035833356846,0.0144156473089619,0.0142339461916074,0.0140750531485723,0.0139334103157563,0.0138027258618058,0.0136860505294913,0.013922229229938,0.012257254003340434,0.012280832597893365,0.01230542830815401,0.012330467646398335,0.012150560705080082,0.012176369265594622,2972492.5,0.012203337293766547,0.012230954402951966,0.012259381787181889
31,156066.89,156066.89,133548.47,122319.49,113809.234,106858.67,95844.82,87297.266,80344.89,74513.64,69513.11,57896.38,0.033338559554074,0.033338559554074,0.033338559554074,0.033338559554074,0.033338559554074,0.033338559554074,0.033338559554074,0.033338559554074,0.033321656270182,0.0330766764882151,0.033338559554074,0.025912490103802865,0.026012102074440546,0.026114102933630312,0.026213818540143485,0.026213818540143485,0.026213818540143485,61316.375,0.026213818540143485,0.026213818540143485,0.026213818540143485
