filter_idx,skew,skew_ci_low,skew_ci_high,filter_group,nonskewed
0,1.09,-2.97,7.32,dual_color,1.0
1,-1.27,-1.83,-0.92,misc,0.0
2,-0.29,-6.35,4.34,dual_color,1.0
3,-0.1,-5.14,4.57,single_edge,1.0
4,-0.03,-1.39,1.14,dual_color,1.0
5,-0.22,-1.33,1.05,dual_color,1.0
6,-0.96,-6.63,2.68,single_edge,1.0
7,0.27,-2.25,2.27,inside_out,1.0
8,0.56,-7.91,10.06,misc,1.0
9,-3.41,-36.06,26.04,multi_edge,1.0
10,-0.47,-3.91,2.79,single_edge,1.0
11,1.42,-4.85,11.51,single_edge,1.0
12,-0.23,-8.13,5.88,single_edge,1.0
13,0.31,-4.2,5.26,single_edge,1.0
14,-1.05,-6.17,1.92,single_edge,1.0
15,-0.32,-1.11,0.64,inside_out,1.0
16,0.1,-8.59,8.99,multi_edge,1.0
17,-0.24,-2.25,1.58,dual_color,1.0
18,0.0,-8.74,8.64,multi_edge,1.0
19,0.98,0.24,1.9,inside_out,0.0
20,-0.72,-8.48,5.53,dual_color,1.0
21,-1.43,-3.88,-0.48,eye,0.0
22,-0.14,-5.13,3.91,multi_edge,1.0
23,0.47,-2.86,3.55,single_edge,1.0
24,-0.95,-12.64,9.35,single_edge,1.0
25,-0.58,-10.7,6.86,multi_edge,1.0
26,-0.17,-3.89,2.76,dual_color,1.0
27,1.33,-25.6,29.79,multi_edge,1.0
28,-0.76,-9.83,5.87,single_edge,1.0
29,0.84,-3.11,6.31,single_edge,1.0
30,1.13,-7.93,13.68,single_edge,1.0
31,1.35,-0.16,4.19,eye,1.0
32,-1.06,-5.07,1.49,single_edge,1.0
33,0.18,-7.65,8.89,multi_edge,1.0
34,-0.88,-9.72,5.28,single_edge,1.0
35,-1.61,-2.37,-1.11,inside_out,0.0
36,-1.28,-1.81,-0.93,misc,0.0
37,1.47,0.63,3.37,eye,0.0
38,-0.23,-2.95,2.46,dual_color,1.0
39,-1.34,-4.34,0.46,eye,1.0
40,0.24,-0.49,0.86,inside_out,1.0
41,0.35,-7.99,10.15,multi_edge,1.0
42,-0.42,-4.72,3.48,dual_color,1.0
43,0.87,-2.35,5.43,single_edge,1.0
44,-0.22,-3.21,2.57,dual_color,1.0
45,0.55,-2.26,3.9,eye,1.0
46,0.02,-1.98,1.36,eye,1.0
47,0.05,-1.25,1.29,dual_color,1.0
48,-0.26,-6.4,5.33,single_edge,1.0
49,-0.02,-3.2,3.22,single_edge,1.0
50,-0.57,-5.68,3.41,single_edge,1.0
51,1.11,0.78,1.98,inside_out,0.0
52,-0.3,-1.2,0.41,inside_out,1.0
53,1.08,0.63,1.84,inside_out,0.0
54,-0.65,-11.72,8.12,multi_edge,1.0
55,-1.21,-10.0,4.08,single_edge,1.0
56,0.24,-2.76,2.94,dual_color,1.0
57,0.51,-3.09,5.35,single_edge,1.0
58,0.53,-0.65,1.78,inside_out,1.0
59,0.14,-1.39,1.8,dual_color,1.0
60,-0.23,-6.04,5.33,misc,1.0
61,0.37,-3.53,5.17,misc,1.0
62,0.2,-1.67,2.13,misc,1.0
63,0.2,-8.93,10.22,multi_edge,1.0
