band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,0.013247940982330458,0.011009120074451614,0.016008628060860664,50.6867981816504,24.662480912152883,80.69133295972868,196286.0
3,0.21787815323246687,0.18287232783678403,0.2568556288713766,41.42804821016583,32.65904504340082,52.12011675526008,218560.0
5,2.12507231307953,1.9561265060117465,2.2989650767515792,7.871349377402591,6.856902982148087,8.984187486191205,2164722.0
6,1.6060981823861697,1.4781970847513897,1.737453449024325,7.8484208451139335,6.962206264973239,8.786269623939312,1093482.0
8,0.15304435562919017,0.1331586015499501,0.17618933885217503,27.85321090863223,17.169533861085508,43.2551781187598,7087436.0
9,0.03697601450676882,0.03270207787354568,0.04235168766272812,22.96829240142577,11.510381611983417,58.350382340547604,10634258.0
11,0.023979804084388174,0.020239421191774035,0.028226873380731612,38.85340129336057,27.311376285345144,60.455321169748466,13475972.0
12,0.010855534648658354,0.008917236131078,0.013248039103309975,56.9080615295007,35.399686434763325,112.46837363543645,44379050.0
14,0.0006189628967442161,0.0004992014313885393,0.0008036533223481868,83.30020708750237,35.92371228949913,272.9759799775969,24986510.0
16,0.00015652033820016853,0.00010824514324705467,0.00022922929073221425,217.46313346708703,92.12791159000128,521.2753029822525,16339162.0
