,group,dataset,subset,transform,orientation,channel,dataset_type,obs_var,var_lower,var_upper,total_samples,initial_r,initial_eta,best_r,best_eta,best_scale,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_best,n_pval_0.05,obs_kurt,kurt_lower,kurt_upper,intersect_roi,hull_area,hull_r_lower,hull_r_upper,hull_beta_lower,hull_beta_upper,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma,github_plot,total_samples,beat_all_priors,best_prior,failure_category,failure_type,which_ones
0,2,syntheticMRI3D,full,wavelet,ada,,medical,,,,0.0,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI3D/full/wavelet/ada/plots/compare_cdf_pdf_layer_2.jpg,0.0,0,nan,trivial_failure,low samples,
1,3,syntheticMRI3D,full,wavelet,ada,,medical,1917588.4,1678674.1,2165048.5,564.0,1.0,20.0,1.02,20.0,96620.93697532149,0.0530071837839212,0.0568820832907503,0.0529675454644208,634.0,-0.62835956,-0.86953527,-0.3481748,0.0,0.017341794086795,0.4,1.04,11.875,53.75,1561.34,0.0373497,0.401139,1393.99,0.0616733,0.0262417,1143.55,0.0575389,0.0459119,0.08145911,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI3D/full/wavelet/ada/plots/compare_cdf_pdf_layer_3.jpg,564.0,0,Gaussian,trivial_failure,low samples,
2,4,syntheticMRI3D,full,wavelet,ada,,medical,814282.0,777582.6,851497.5,22538.0,0.6,0.5,0.6,0.5,94258.5184903226,0.0169005490112472,0.0090389255084191,0.0169005490112472,6337.0,1.1168466,0.8789918,1.4055643,0.0,0.0,,,,,761.237,0.0346074,6.90327e-24,673.651,0.010084,0.020297,555.072,0.0170561,3.98877e-06,5.0617209e-06,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI3D/full/wavelet/ada/plots/compare_cdf_pdf_layer_4.jpg,22538.0,0,Laplace,trivial_failure,double inflection,
3,5,syntheticMRI3D,full,wavelet,ada,,medical,249365.95,231914.97,267766.94,296776.0,0.1,5.7,0.1,5.8,2.9692597750511054e-14,0.0035158771189835,0.0024924069574146,0.0034985330314722,148388.0,5.788045,4.9612856,6.675331,1.0,0.10552611983375275,0.09,0.8,1.5714285714285716,111.0,368.495,0.0283885,3.250789999999999e-208,320.03,0.00718609,9.711e-14,263.757,0.00445038,1.56399e-05,0.0013960371,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI3D/full/wavelet/ada/plots/compare_cdf_pdf_layer_5.jpg,296776.0,1,GenGamma,practically_pass,pass,
4,6,syntheticMRI3D,full,wavelet,ada,,medical,43869.16,40573.156,47332.902,2880648.0,0.2,0.7,0.21,0.6,0.3445064540367278,0.0031017063915744,0.0008001194016298,0.0027680299640789,243324.0,6.932356,5.826878,8.281218,1.0,0.3970109293189166,0.1,1.6,0.37499999999999994,65.99999999999999,138.248,0.0382158,0.0,123.086,0.012939,0.0,96.642,0.0116013,0.0,1.3463900000000002e-19,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI3D/full/wavelet/ada/plots/compare_cdf_pdf_layer_6.jpg,2880648.0,1,GenGamma,practically_pass,pass,
5,7,syntheticMRI3D,full,wavelet,ada,,medical,6100.906,5614.9565,6619.6543,25362406.0,0.4,-0.7,0.35,-0.6,182.92767176909348,0.0037855075815779,0.0002696655722402,0.0031323200848383,198143.0,8.188866,6.8847647,9.728744,1.0,0.26892066715441715,0.1,1.2,0.4166666666666667,36.0,44.7125,0.0491318,0.0,39.2247,0.023421,0.0,30.6284,0.0245863,0.0,1.4427366999999995e-216,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI3D/full/wavelet/ada/plots/compare_cdf_pdf_layer_7.jpg,25362406.0,1,GenGamma,practically_pass,pass,
6,8,syntheticMRI3D,full,wavelet,ada,,medical,432.0266,394.0085,475.6335,213093688.0,0.3,-0.5,0.37,-0.7,23.776250289940585,0.0032252226419142,9.303414483735194e-05,0.0024898829926881,312148.0,11.321023,7.5657606,25.1096,1.0,0.21524992743275484,0.1,1.1,0.45454545454545453,32.99999999999999,11.5502,0.0530986,0.0,10.1091,0.0266893,0.0,7.92454,0.027607,0.0,0.0,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI3D/full/wavelet/ada/plots/compare_cdf_pdf_layer_8.jpg,213093688.0,1,GenGamma,practically_pass,pass,
7,2,syntheticMRI3D,full,wavelet,aad,,medical,,,,0.0,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI3D/full/wavelet/aad/plots/compare_cdf_pdf_layer_2.jpg,0.0,0,nan,trivial_failure,low samples,
8,3,syntheticMRI3D,full,wavelet,aad,,medical,8807488.0,8156726.0,9453774.0,564.0,0.7,20.0,0.75,20.0,99620.37244572738,0.1526666873665992,0.0568820832907503,0.1523876222779108,78.0,-1.5391786,-1.6141417,-1.4371631,0.0,0.0,,,,,3866.78,0.106077,5.57436e-06,3610.26,0.125491,3.35483e-08,3037.42,0.119845,1.62265e-07,6.6928016e-12,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI3D/full/wavelet/aad/plots/compare_cdf_pdf_layer_3.jpg,564.0,0,Gaussian,trivial_failure,low samples,
9,4,syntheticMRI3D,full,wavelet,aad,,medical,1420065.2,1367602.4,1473146.8,22538.0,1.1,20.0,1.11,20.0,98568.63650893024,0.0111310908167673,0.0090389255084191,0.0111094804774962,14260.0,0.0743351,-0.063021764,0.2247136,0.0,0.0,,,,,1199.45,0.00804849,0.107278,1070.47,0.0334158,2.6728999999999997e-22,873.615,0.0341559,2.80076e-23,0.0076147956,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI3D/full/wavelet/aad/plots/compare_cdf_pdf_layer_4.jpg,22538.0,0,Gaussian,interesting_failure,other,
