,group,dataset,subset,transform,orientation,channel,dataset_type,obs_var,var_lower,var_upper,total_samples,initial_r,initial_eta,best_r,best_eta,best_scale,kstest_stat_initial,kstest_stat_cutoff_0.05,kstest_stat_best,n_pval_0.05,obs_kurt,kurt_lower,kurt_upper,intersect_roi,hull_area,hull_r_lower,hull_r_upper,hull_beta_lower,hull_beta_upper,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma,github_plot,total_samples,beat_all_priors,best_prior,failure_category,failure_type,which_ones
0,2,ravdess,1e5geocomp,fft,,female,speech,223294877933040.1,204435927523587.44,245023432823347.03,2880.0,0.1,13.0,0.1,13.0,4.01114755715006e-08,0.0064356363521052,0.0252480482623505,0.0064356363521052,46705.0,5.2520330218604485,2.206040586985574,9.498202715521524,0.0,0.0004548520783109018,0.1,0.2,72.49999999999999,155.0,1000000.0,0.415051,0.0,1000000.0,0.378354,0.0,1000000.0,0.354932,0.0,0.99972253,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results-audio/case-studies/ravdess/1e5geocomp/fft/female/plots/compare_cdf_pdf_layer_2.jpg,2880.0,1,GenGamma,,,
1,5,ravdess,1e5geocomp,fft,,female,speech,331135490529685.8,283890704169138.06,384779491085182.9,8640.0,0.1,7.7,0.1,7.7,2.61985880234179e-06,0.0077942814582531,0.014591379330558,0.0077942814582531,29160.0,33.309539391548164,24.53792427615697,41.45780282008651,0.0,7.180766064820274e-05,0.1,0.11,80.0,155.0,1000000.0,0.39782,0.0,1000000.0,0.358948,0.0,1000000.0,0.33527,0.0,0.66716655,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results-audio/case-studies/ravdess/1e5geocomp/fft/female/plots/compare_cdf_pdf_layer_5.jpg,8640.0,1,GenGamma,,,
2,8,ravdess,1e5geocomp,fft,,female,speech,61768711805751.805,51924690626679.625,75567029297040.22,24480.0,0.2,14.0,0.2,14.0,12501.678811421256,0.0046218121886101,0.0086732787358375,0.0046218121886101,82620.0,52.81993479158076,16.01010201711832,109.14574316210144,0.0,0.000313619224435784,0.16,0.21,50.99999999999999,107.5,1000000.0,0.341646,0.0,1000000.0,0.296598,0.0,1000000.0,0.27257,0.0,0.67067191,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results-audio/case-studies/ravdess/1e5geocomp/fft/female/plots/compare_cdf_pdf_layer_8.jpg,24480.0,1,GenGamma,,,
3,11,ravdess,1e5geocomp,fft,,female,speech,7202463999581.787,6829575974226.951,7609443318230.51,67680.0,0.2,20.0,0.21,20.0,1684.265351570809,0.0013906303872117,0.0052178990254114,0.0013713822691025,975690.0,2.392277840036216,1.1643386896458268,4.357608291466238,0.0,0.0005741702371826165,0.14,0.24,55.5,153.57142857142856,1000000.0,0.203196,0.0,1000000.0,0.160902,0.0,1000000.0,0.13541,0.0,0.9995517,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results-audio/case-studies/ravdess/1e5geocomp/fft/female/plots/compare_cdf_pdf_layer_11.jpg,67680.0,1,GenGamma,,,
4,14,ravdess,1e5geocomp,fft,,female,speech,2573510235403.665,2321574932671.347,2897079185721.361,187200.0,0.2,6.9,0.2,6.6,15860.466843016498,0.0023421640955137,0.0031380148313681,0.002283051209874,355387.0,16.665701738057436,5.415897265659033,35.72805105297881,0.0,0.0019149435209129034,0.1,0.22,27.999999999999996,155.0,1000000.0,0.059814,0.0,1000000.0,0.0373002,9.87464e-227,942294.0,0.0170236,1.48321e-47,0.28288176,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results-audio/case-studies/ravdess/1e5geocomp/fft/female/plots/compare_cdf_pdf_layer_14.jpg,187200.0,1,GenGamma,,,
5,17,ravdess,1e5geocomp,fft,,female,speech,397791423435256.9,369222447960020.8,429222374705203.8,519840.0,0.1,3.5,0.1,3.5,0.0017447639704202,0.0126225344630406,0.0018833128424659,0.0126225344630406,12183.0,6.408159255338431,4.342514345130122,10.709054659632432,0.0,4.5809572658511426e-05,0.09,0.11,41.81818181818182,60.0,1000000.0,0.385319,0.0,1000000.0,0.347583,0.0,1000000.0,0.324031,0.0,2.2581309000000002e-72,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results-audio/case-studies/ravdess/1e5geocomp/fft/female/plots/compare_cdf_pdf_layer_17.jpg,519840.0,1,GenGamma,,,
6,20,ravdess,1e5geocomp,fft,,female,speech,132968564675201.31,123710875776759.0,143214378220147.75,1442880.0,0.1,6.0,0.1,6.0,1.3271361199254533e-05,0.0012432332089664,0.001130503234731,0.0012432332089664,1217430.0,5.945643721232287,3.8157224496001247,12.027684628727943,0.0,0.00015156152905493453,0.09,0.12,59.16666666666666,115.0,1000000.0,0.367705,0.0,1000000.0,0.325272,0.0,1000000.0,0.301335,0.0,0.023098318,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results-audio/case-studies/ravdess/1e5geocomp/fft/female/plots/compare_cdf_pdf_layer_20.jpg,1442880.0,1,GenGamma,,,
7,23,ravdess,1e5geocomp,fft,,female,speech,10136939875120.775,9443005267113.574,11035436300597.115,4007520.0,0.1,14.0,0.1,14.0,9.003162701312722e-10,0.0009655979079268,0.0006783703088241,0.0009655979079268,2003760.0,6.997989312318538,2.698813059015033,24.27861971813736,0.0,0.0011528412507722913,0.1,0.2,37.0,155.0,1000000.0,0.209324,0.0,1000000.0,0.165577,0.0,1000000.0,0.140495,0.0,0.0011356455,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results-audio/case-studies/ravdess/1e5geocomp/fft/female/plots/compare_cdf_pdf_layer_23.jpg,4007520.0,1,GenGamma,,,
8,26,ravdess,1e5geocomp,fft,,female,speech,3622786470302.1504,3391325532234.1035,3881514048276.4536,11121120.0,0.1,9.1,0.1,9.1,1.3034785943761852e-08,0.0011130645863228,0.0004072312197337,0.0011130645863228,1563907.0,4.82023586397267,3.034605223271958,10.719080756561654,0.0,0.0012442415708563911,0.09,0.2,29.5,155.0,1000000.0,0.0939626,0.0,1000000.0,0.0587373,0.0,1000000.0,0.0303245,0.0,2.1537941e-12,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results-audio/case-studies/ravdess/1e5geocomp/fft/female/plots/compare_cdf_pdf_layer_26.jpg,11121120.0,1,GenGamma,,,
9,30,ravdess,1e5geocomp,fft,,female,speech,52829920993.14854,48275128194.15711,58158329272.25027,8360640.0,0.1,3.8,0.1,3.8,1.2976123951051786e-07,0.0032596582100139,0.0004696703183341,0.0032596582100139,165334.0,10.738599630966055,6.422545716154701,26.000999161982808,0.0,0.002020671951111823,0.09,0.2,11.999999999999998,74.0,156492.0,0.0361022,0.0,136366.0,0.011058,0.0,111456.0,0.00626254,3.0864899999999994e-285,1.3774194999999995e-77,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results-audio/case-studies/ravdess/1e5geocomp/fft/female/plots/compare_cdf_pdf_layer_30.jpg,8360640.0,1,GenGamma,,,
