band,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples
2,1142.2483,671.4693,1944.989,473.18463,99.004295,1019.8701,45000.0
5,758.16223,365.14816,2692.9504,2945.4336,101.46221,5367.835,117000.0
8,241.40501,134.15619,529.0408,918.95044,93.30223,2766.5867,189000.0
11,139.54498,56.528194,599.4603,6517.1216,80.00292,6412.924,495000.0
14,45.20216,23.660954,126.89979,1856.4797,73.76143,4089.5234,1134000.0
17,29.421543,11.309689,173.46356,9698.964,65.2629,7472.824,2574000.0
20,16.877602,6.5359554,89.35799,8663.62,69.64134,7133.971,5967000.0
23,7.1244173,2.4097512,47.371037,16824.38,62.361816,8305.875,13887000.0
26,3.9631805,0.63772917,39.92467,32372.2,72.455315,9320.126,31968000.0
29,0.6209732,0.07980537,5.1764264,37523.438,88.50855,9488.237,73701000.0
32,0.015306049,0.008238434,0.04331681,1880.4244,83.458115,4042.0374,59634000.0
